label,best-of-2025::46551195771960533081545368009925141952498658652959429196677286705276507790996,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,champions-league::76184513907290761912636659055080401703643418316153242056949287928791438454394,connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,business::50967548204329017987830198881678379324925229642745345006556239550086450305683,bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,climate-science::93766990226491733942214251921024942451432775407674989883724893659074859142435,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,fifa-world-cup::76641034721053425080952855862174690067662519247667787282293691334146019135577,brazil::89033597404049535329336367676897002196779443515433514040396661411543836790585,base::22056280440419108399189383402666130126211471357531451866320292446775191982898
connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919,0.003408959543870403,5.790296573837283e-06,5.57683517426651e-06,-5.6572589539088305e-06,8.525822988933538e-06,-6.9918720770865915e-06,2.5020729854687733e-06,1.0955628119183098e-05,-0.07227095614566728,-2.6967476634848585e-07,1.0,-6.640437440687599e-06,-4.2989144245262695e-06,-5.880815932955669e-06,1.2471513818410936e-06,-5.632981694207741e-08,9.719834252879564e-07,7.670119308435514e-06,-3.9257413671780575e-06,7.751042161981413e-06
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,0.00029079565371268104,6.490521638791302e-05,6.251246186266332e-05,-6.341395676086518e-05,9.556857389345654e-05,-7.837404601525403e-05,2.804650616239083e-05,0.0001228050074246724,-9.366490276846976e-06,-3.022867454369236e-06,-6.640437440687599e-06,1.0,-4.818785487045815e-05,-6.591987574360447e-05,1.3979703677465334e-05,-6.314182548500142e-07,1.0895261363437928e-05,8.597672797704413e-05,-4.400484321838928e-05,8.688381714821091e-05
congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,0.00018825651796296395,4.2018612997889357e-05,4.046958147175742e-05,-4.105319504482782e-05,6.18695868324256e-05,-5.073812078387951e-05,0.00015655750827514114,7.950202415689348e-05,-6.06371801827315e-06,-1.956956694357128e-06,-4.2989144245262695e-06,-4.818785487045815e-05,0.9999999999999999,-4.267548745519956e-05,9.050239585334675e-06,-4.0877021550766926e-07,7.053420298376924e-06,5.565997712881966e-05,-2.848804117954686e-05,5.624721234594041e-05
business::50967548204329017987830198881678379324925229642745345006556239550086450305683,0.00025753058120978246,5.7480494933537166e-05,5.5361455478469185e-05,-5.615982540637683e-05,8.463616999066515e-05,-6.940858078303225e-05,2.483817395716986e-05,0.00010875693819273979,-8.295026607500316e-06,-2.6770716910831355e-06,-5.880815932955669e-06,-6.591987574360448e-05,-4.2675487455199564e-05,1.0,1.2380519334568077e-05,-5.591882412343218e-07,9.64891653480747e-06,7.614156691737133e-05,-3.89709842818869e-05,7.694489117093635e-05
bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,-5.461480581670867e-05,-1.218995450674714e-05,-1.1740567378379262e-05,1.1909878604945152e-05,-1.7948889671258025e-05,1.471955735769644e-05,-5.267460047423406e-06,-2.306420865713571e-05,1.759135809366218e-06,5.677296648770434e-07,1.2471513818410938e-06,1.3979703677465334e-05,9.050239585334675e-06,1.2380519334568077e-05,0.9999999999999999,1.1858769186397504e-07,-2.046256799540798e-06,-1.6147429451820913e-05,8.26462134726916e-06,-1.6317791347913332e-05
climate-science::93766990226491733942214251921024942451432775407674989883724893659074859142435,2.466775131540434e-06,5.505810408382054e-07,5.302836695288324e-07,-5.379309131127173e-07,8.106936208554644e-07,-6.648350661362759e-07,2.3791422961293118e-07,1.0417361280219205e-06,-7.945450693532717e-08,-2.564252308162421e-08,-5.6329816942077406e-08,-6.314182548500143e-07,-4.0877021550766926e-07,-5.591882412343217e-07,1.1858769186397504e-07,1.0,9.242283864921096e-08,7.293274564347445e-07,-0.0065909777531832575,-0.011409267674118108
fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,-4.256474939777281e-05,-9.50039739207826e-06,-0.008692902930734606,9.282116645778433e-06,0.005494072398794501,1.1471875818420448e-05,-4.105262547921523e-06,-1.7975386836374704e-05,1.3710050555448638e-06,4.42467395970745e-07,9.719834252879564e-07,1.089526136343793e-05,7.053420298376925e-06,9.648916534807472e-06,-2.046256799540798e-06,9.242283864921094e-08,1.0,-1.2584706248735504e-05,6.441138648274959e-06,-1.2717479977498985e-05
fifa-world-cup::76641034721053425080952855862174690067662519247667787282293691334146019135577,0.0012665328085950782,-7.496957209246777e-05,-7.220579141560875e-05,7.324707423573904e-05,-0.00011038766202486769,9.052691016084813e-05,-3.239546345730793e-05,-0.00014184744108108972,-0.026987296003646674,3.491600400680999e-06,7.670119308435514e-06,8.597672797704413e-05,5.565997712881966e-05,7.614156691737131e-05,-1.6147429451820913e-05,7.293274564347445e-07,-1.2584706248735504e-05,1.0,5.082833783900904e-05,-0.0001003562264461504
brazil::89033597404049535329336367676897002196779443515433514040396661411543836790585,0.00017191465733576246,3.83711306966652e-05,3.695656493873443e-05,0.019577912073080798,5.649891400782294e-05,-4.633372986393394e-05,1.6580734391362935e-05,7.260074385907852e-05,-5.5373488077423795e-06,-1.7870804324425135e-06,-3.9257413671780575e-06,-4.400484321838928e-05,-2.8488041179546856e-05,-3.89709842818869e-05,8.264621347269157e-06,-0.0065909777531832575,6.441138648274959e-06,5.082833783900904e-05,1.0,5.136459731208997e-05
base::22056280440419108399189383402666130126211471357531451866320292446775191982898,-0.00033943085716563843,-7.57605313277409e-05,-7.296759164957777e-05,7.401986042360844e-05,-0.00011155229639988148,9.14820055900209e-05,-3.2737248668123746e-05,-0.00014334398881894864,1.0933023869898485e-05,3.528438193744029e-06,7.751042161981413e-06,8.688381714821093e-05,5.624721234594041e-05,7.694489117093635e-05,-1.6317791347913332e-05,-0.01140926767411811,-1.2717479977498985e-05,-0.0001003562264461504,5.1364597312089965e-05,0.9999999999999999
