label,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,congress::109303663734739671465714636465895865472163062510173069449390862173969575719974,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,california-midterm::97079880955117270083666806029014143818118511996487378321036003805764596740938,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184
airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,-0.00041127968694879057,-0.0003643466887952903,0.018695920882956404,-0.00019389132670771998,-0.0004772682644991976,0.00033835828479393835,0.0007012861032133395,0.00047911968804869085,0.00047911968804869107,-0.0002599100988141031,1.0,-0.00017512591745235412,-9.299185384519404e-05,-0.00030168863398859387,0.0004791196880486988,-0.0006180638605291918,-0.00020568437834062075,0.00019690167799967244,-0.05685308472535669,-0.00020542286497852088
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,-0.00014863168997694093,-0.00013167065092590242,0.00019885190630314933,-7.00700678271725e-05,-0.00017247919354138475,0.00012227874432535913,0.00025343663201854883,0.00017314827645443725,0.00017314827645443725,-9.392848335255835e-05,-0.00017512591745235412,0.9999999999999998,-3.360617319479049e-05,-0.00010902675950087091,0.00017314827645443275,-0.00022336108254129278,-7.433193937056773e-05,7.11579737319519e-05,7.997014708738193e-05,-7.423743148653189e-05
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-0.0011531886657796771,-6.991710938464769e-05,0.00010559035279749978,-3.720720268648969e-05,-9.158644357423836e-05,6.493000742606203e-05,0.00013457483955850552,9.194172656927906e-05,9.194172656927906e-05,-4.987602019671279e-05,-9.299185384519406e-05,-3.360617319479049e-05,1.0,-0.016288329381470266,9.194172656927623e-05,-0.000118604724215283,-3.9470256273509094e-05,3.7784880670231154e-05,4.246414430320907e-05,-3.942007259157583e-05
fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,0.7795521647773609,-0.00022682844088472789,0.00034256128876494703,-0.00012070939215504005,-0.0002971291345560525,0.00021064904542980663,0.0004365941513890825,0.0002982817606950198,0.00029828176069501974,0.7736674918725606,-0.00030168863398859387,-0.00010902675950087092,-0.016288329381470266,1.0,0.0002982817606950196,-0.0003847831369473385,-0.00012805129918323058,0.00012258352278684957,0.00013776421437577,-0.00012788849087450063
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,0.00040663523693047375,0.0003602322381206109,-0.0005440306306562177,0.00019170177394239833,0.0004718786265711919,-0.00033453731285713466,-0.0006933667034513973,-0.000473709142586452,-0.00047370914258645214,0.00025697501716162417,0.0004791196880486988,0.00017314827645443273,9.194172656927623e-05,0.0002982817606950196,0.9999999999999999,0.0006110842629476681,0.0002033616504134503,-0.00019467813029961875,-0.00021878698757503686,0.00020310309023814714
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.0005245589998357717,-0.0004646991833849937,0.0007017989037330758,-0.00024729507350382257,-0.000608722899339847,0.0004315527585969898,0.0008944422702454408,0.0006110842629476573,0.0006110842629476574,-0.0003314974840907108,-0.0006180638605291918,-0.00022336108254129278,-0.00011860472421528302,-0.00038478313694733843,0.0006110842629476682,1.0,-0.00026233630108172623,0.00025113456986839577,0.00028223496872964644,-0.0002620027587454157
comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,-0.00017456706122862288,-0.00015464641884755932,0.00023355041518019612,-8.229688986633416e-05,-0.0002025758163973792,0.012897234345666177,0.06680481157384409,0.00020336165041345616,0.00020336165041345616,-0.00011031846107018528,-0.00020568437834062075,-7.433193937056773e-05,-3.9470256273509094e-05,-0.00012805129918323058,0.0002033616504134503,-0.0002623363010817263,1.0,8.357462906663497e-05,9.392447576442732e-05,-8.719143440927819e-05
bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,0.0001671130669071335,0.0001480430337655385,-0.00022357783812995786,7.878282171726599e-05,0.013334682992146836,-0.00013748330510763275,-0.00028494981689169887,-0.00019467813029962444,-0.00019467813029962444,0.00010560787491157378,0.00019690167799967244,7.11579737319519e-05,3.7784880670231154e-05,0.00012258352278684957,-0.00019467813029961875,0.00025113456986839577,8.357462906663497e-05,1.0,-8.991391097591599e-05,8.346836974636419e-05
foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,0.00018780827839657717,0.00016637662042049399,-0.00025126562299375286,0.17603864107416364,0.00021794154667326534,-0.00015450917943409412,-0.00032023788163488973,-0.0002187869875750379,-0.0002187869875750379,0.00011868630945111262,-0.05685308472535669,7.997014708738193e-05,4.246414430320907e-05,0.00013776421437577003,-0.0002187869875750369,0.0002822349687296465,9.392447576442732e-05,-8.991391097591599e-05,1.0,0.09411624644370191
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-0.00017434511136805495,-0.00015444979669639345,0.00023325347209299647,-8.219225510246402e-05,-0.00020231825535529328,0.000143433081469079,0.00029728140641388127,0.00020310309023814952,0.00020310309023814952,-0.0001101781988301029,-0.00020542286497852086,-7.423743148653189e-05,-3.942007259157583e-05,-0.0001278884908745006,0.0002031030902381471,-0.0002620027587454157,-8.719143440927819e-05,8.346836974636419e-05,0.0941162464437019,0.9999999999999998
