label,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,celebrities::19492530427143824685987034788783271266048069021010222880965233900093546828095,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,climate-science::14587289270105478078575182270076077995644333043562861626184773368461008874205,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,comex-gold-futures::91179457738197972030536046159970584284769890945507129337353196559348761227632,business::391670908629060088409431896998377161667071768186645889213963384874929102170,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,elon-musk::32431890167345181985795456212069136470689842825539004695200064630822423107335,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261
2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,0.0004389083849978079,0.00019625632443789957,2.787011247591087e-05,0.0003066748478521154,-0.0006274166549055222,0.00017726199322014636,0.0004223703456472006,0.0004857710204632915,-0.0005662258386627855,-0.00048496605237633984,1.0,-0.0280778392255831,-0.0007171712827976458,0.000625864504834061,0.0008343311886894744,0.00029671063061600895,-0.00041557792851705733,-0.000370472927008187,0.00048648656221794766,0.00017645367548819226
climate-science::14587289270105478078575182270076077995644333043562861626184773368461008874205,-0.16015897971385512,-0.00013933637819905706,-1.978698288331169e-05,-0.0002177303722916773,0.0004454478833570754,-0.00012585094619692246,-0.18507981054532346,-0.0003448835334059805,-0.050360181206590186,0.00034431202908313785,-0.0280778392255831,1.0,0.0005091711025344008,-0.00044434590119167306,-0.0005923512854093506,-0.00021065606299111242,0.00029504844536796734,0.000263025184120666,-0.00034539154759014197,-0.1613719406246184
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,0.000649060873347978,0.00029022526270571517,-0.02141008047708554,0.00045351296850196704,-0.0009278282573437172,0.0002621363092241922,0.0006246043019283989,0.0007183616753884181,-0.0008373388386200812,-0.0007171712827976466,-0.0007171712827976458,0.0005091711025344008,1.0,0.000925532926665646,0.0012338149566109855,0.00043877781245903636,-0.0006145596266719175,-0.0005478580263553587,0.0007194198236764708,0.0002609409631543171
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-0.0005664255831890757,-0.0002532751864032772,-3.5967288965767814e-05,-0.00039577389150339463,0.0008097016525650991,-0.00022876238258122481,-0.0005450827041187234,-0.0006269033423994506,0.0007307329088344891,0.000625864504834061,0.0006258645048340609,-0.0004443459011916731,0.0009255329266656459,1.0,-0.0010767316056826542,-0.0003829147442373718,0.000536316868318556,0.00047810739304381583,-0.0006278267723669313,-0.00022771922218975407
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.0007550939963460008,-0.0003376375968044699,-4.794748819427502e-05,-0.00052760062090091,0.0010794019105581953,-0.0003049599220154373,-0.0007266421037601837,-0.0008357160484699607,0.0009741297864528072,0.0008343311886894754,0.0008343311886894744,-0.0005923512854093507,0.0012338149566109855,-0.0010767316056826542,1.0,-0.000510458272131923,0.0007149564910652167,0.0006373582564252147,-0.0008369470600011874,-0.00030356929953613993
comex-gold-futures::91179457738197972030536046159970584284769890945507129337353196559348761227632,-0.00026853175197981335,-0.00012007301851545168,-1.705141753231536e-05,-0.00018762898362555193,0.00038386437653484327,-0.00010845195768834135,-0.00025841349306081655,-0.00029720312403391986,0.00034642677531239604,0.0002967106306160087,0.000296710630616009,-0.0002106560629911124,0.0004387778124590363,-0.00038291474423737186,-0.000510458272131923,1.0,0.00025425777461368724,0.00022666175345703395,-0.000297640904872838,-0.0001079574148996072
business::391670908629060088409431896998377161667071768186645889213963384874929102170,0.0003761101144139637,0.0001681763009361785,2.3882503844392636e-05,0.00026279632847324,-0.0005376469393787543,0.00015189964655518506,0.00036193830980748,0.00041626772312939046,-0.00048521120179709974,-0.00041557792851705804,-0.00041557792851705733,0.00029504844536796734,-0.0006145596266719175,0.000536316868318556,0.0007149564910652167,0.00025425777461368724,1.0,-0.00031746628619324117,0.00041688088637806633,0.00015120698155940754
epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,0.0003352887759500026,0.00014992318452416707,2.1290401862988637e-05,0.00023427357021558087,-0.00047929310403804065,0.0001354131266586239,0.00032265511671722197,0.0003710878543455923,-0.0004325485109095536,-0.00037047292700818744,-0.000370472927008187,0.000263025184120666,-0.0005478580263553586,0.0004781073930438159,0.0006373582564252146,0.00022666175345703395,-0.00031746628619324117,1.0,0.0003716344675506665,0.00013479564047657396
elon-musk::32431890167345181985795456212069136470689842825539004695200064630822423107335,-0.00044028449063588846,-0.00019687164518318392,-2.795749339690442e-05,-0.0003076363628324844,0.0006293837888809763,-0.00017781776120413513,-0.0004236945997145019,-0.00048729405411432976,0.0005680011216048455,0.00048648656221794755,0.00048648656221794766,-0.00034539154759014197,0.0007194198236764708,-0.0006278267723669312,-0.0008369470600011874,-0.000297640904872838,0.00041688088637806633,0.00037163446755066656,1.0,-0.00017700690916064405
fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,0.7499629984623427,-7.140736885640503e-05,-0.0159965741179075,-0.00011158287021974088,0.00022828396808005242,-6.449632933025456e-05,0.7483869164287869,-0.00017674656109719408,0.00020601984386095572,0.00017645367548819256,0.00017645367548819226,-0.16137194062461838,0.0002609409631543171,-0.00022771922218975407,-0.00030356929953613993,-0.0001079574148996072,0.00015120698155940757,0.00013479564047657393,-0.00017700690916064405,1.0
