trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
42,0.017869573621058902,0.000983918625533321,96,256,0.028701198007911446,0.07982292911037803,0.1,8,46.2414047212298,0.06414768002927303,4.2106216627206665e-05,0.08329082115528141,-0.0041224348411368645
43,0.03074232414507809,0.0005465595599812136,24,256,0.01049594315700233,0.06405170159414411,0.1,8,8.091436246321905,0.09659673925489187,3.647576618124923e-05,0.14837797047704337,-0.00738242275767092
45,0.015151251639073545,0.0006923222281710196,48,256,0.008061596984043717,0.09025082630105317,0.1,16,6.35122211835647,0.06505672287195921,5.508945391170977e-05,0.10637616929837335,-0.0052637190110069575
44,0.02965185787454258,0.0007770257074956781,24,512,0.027740844897925856,0.05338576720096171,0.1,16,26.337917972001637,0.09264616169035436,4.2271526832146283e-05,0.10080969728973277,-0.0049982133376544925
46,0.010070203170590314,0.0009109991767558928,24,512,0.04949727389030159,0.06755319293588401,0.1,16,2.2674053786168895,0.07762377463281155,4.8131493786881125e-05,0.04204924127608357,-0.0020543305700172973
48,0.03460041646752386,0.0009197739168970226,96,512,0.002715694392099977,0.0817254688590765,0.1,8,20.590206218064694,0.09881319057196379,3.7556370587061286e-05,0.20312161695097855,-0.010118524476961866
47,0.045188720619586675,0.0005101918064551021,48,256,0.017604890372604133,0.076293208822608,0.1,16,14.78562866018608,0.0800740748271346,2.8627614469751335e-05,0.19714116880922086,-0.009828430825991294
49,0.013146682989067971,0.0005881745614319228,96,512,0.03333246167749167,0.07445024903863669,0.1,8,3.637153719302681,0.061379470601677893,3.948246989579483e-05,0.05482216270623417,-0.002701625665415914
50,0.019296914498937664,0.0007676945100817201,96,512,0.024709249194711447,0.09587835115380586,0.1,8,9.697919767253046,0.07379042264074087,4.369472414937847e-05,0.07651444603536921,-0.003782027577619082
54,0.012354911417178345,0.0009457057649510613,96,256,0.017034079879522324,0.09255569451488554,0.1,16,28.73500628575306,0.08563678864389658,3.853204262031382e-05,0.07455919929376349,-0.0036894279220678608
51,0.02329074680479981,0.0006022864594494667,48,512,0.04253916102461517,0.06047818348743022,0.1,16,38.607952866154854,0.08639750860631466,4.6063934786727106e-05,0.07255560705152997,-0.0035817164177897715
52,0.02416851085291639,0.000746706616130288,24,256,0.0070949648972600705,0.07839966211467982,0.1,8,2.672471952704851,0.06065850008279085,4.958234754568075e-05,0.15068869933168638,-0.007484852619038638
53,0.01859425287448324,0.0006188378135956822,24,256,0.025608464423567057,0.06526516526937486,0.1,8,10.245438890901292,0.09820645585656167,4.294455996327747e-05,0.08319251314165564,-0.004116681097119505
57,0.010731408166432747,0.0005179951590103515,96,256,0.00018501258455216885,0.09942828887142241,0.1,8,43.867942040454075,0.09438325334340333,3.551592497618541e-05,0.12906742916004987,-0.006417855533026308
58,0.01574401832252664,0.000789458402917877,96,256,0.041571861179545526,0.07086822837591172,0.1,16,16.437977133694226,0.08196998625993729,4.102250940949128e-05,0.06239747758245396,-0.003078851369713207
56,0.04240862842453954,0.000897184066518001,48,256,0.03276098379865289,0.056703946786001325,0.1,16,6.9858632736774,0.0669910104572773,3.901075461042766e-05,0.14042662589782798,-0.006982320540280971
55,0.03682142084208089,0.0005717175538791149,24,512,0.04696725946851075,0.051296053128317004,0.1,16,4.7666149843735335,0.07322313159704208,4.946093709312981e-05,0.0976100780531849,-0.004831042965566116
61,0.017219229566920506,0.0005611616232895212,96,512,0.021762338373810055,0.06181370574049652,0.1,16,2.147656529786244,0.08848434556275607,3.625030485668637e-05,0.07331241488606124,-0.0036293704394463762
59,0.02853265418500371,0.0006813733270445738,48,512,0.022576200962066653,0.08546771202236414,0.1,8,3.7223686650511087,0.07939954701811075,3.9714427205217375e-05,0.10247574730442913,-0.00508407293801624
60,0.031900281076983214,0.0009589001928854616,24,512,0.03908868110738695,0.09438185407780111,0.1,16,12.745327665200527,0.07109334841370582,4.617308594579961e-05,0.09341403964719744,-0.0046245288964140725
62,0.011445890819405032,0.0007368997084307111,24,512,0.03657778203487396,0.08353784019127489,0.1,16,6.025231118386732,0.09607110470533371,4.4303403741579265e-05,0.048865773909122986,-0.00239898529171457
64,0.037229986303980896,0.0008133423717733035,96,512,0.014805346075445414,0.06563020078465343,0.1,8,36.6273092569062,0.07726053047925234,4.7009835137808995e-05,0.15573936876797032,-0.007739958603260707
