trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
27,0.02924770096165247,0.0005126884904101742,24,256,0.04583960007876158,0.06963884364813566,0.1,16,2.4684097405174334,0.0996753928437829,4.0856367375488276e-05,0.092526089481347,-0.004585448106691862
28,0.031193833418236422,0.0007293504409530024,24,256,0.015826146630570293,0.05979696563445032,0.1,16,18.885912435480346,0.09112993642687797,4.219878560699711e-05,0.1473620643213012,-0.007325904430458063
29,0.017609178759844957,0.0006235706065096321,96,512,0.048103047814220194,0.09636940653435887,0.1,8,3.162571088986339,0.06867728788405657,5.0370086988420496e-05,0.05816185773092486,-0.0028577227995578228
30,0.011705248954615185,0.0009685388899807471,96,512,0.006716008298099041,0.07395290406420828,0.1,16,8.866455635491166,0.07611266076564789,4.803947729285401e-05,0.08512621794340379,-0.0042082714198773356
31,0.047546954577754166,0.0005675700021335952,48,512,0.026010738546028735,0.08240038817748427,0.1,16,33.671612076639526,0.08369959864765406,3.6441996353899544e-05,0.16436245506803726,-0.008181680757047963
33,0.013830133140957563,0.0005255021909659537,96,512,0.022978476760908962,0.06842322619631887,0.1,16,5.469837467907647,0.06484386190772057,3.94261760869954e-05,0.06524950618382881,-0.0032230491331044454
32,0.04022597422040597,0.0008610416734638806,24,512,0.04119290327653289,0.07521050637587906,0.1,16,24.385607501357327,0.09745344419032335,3.798012678811867e-05,0.10925911685395645,-0.005424975715909704
34,0.02029653426443101,0.0008228739749777903,24,512,0.03155305185355246,0.08937488491646946,0.1,16,2.053659480295195,0.07243532989174127,4.2961035812195526e-05,0.07285168037096167,-0.003599622982735888
37,0.02110518322251567,0.0005400074216476926,48,512,0.03851903923787177,0.08676890870556236,0.1,8,33.28350058917552,0.07540365733206272,4.110768699690599e-05,0.07139869504889271,-0.0035288270654477297
35,0.027074253874065007,0.0006718674184407202,24,512,0.0013207992538809778,0.054462552582845096,0.1,8,13.019244501066623,0.0898667061328888,3.385015435660832e-05,0.20266013471355387,-0.010099156581321087
36,0.026039474157139458,0.0008559429507748899,24,256,0.019233444891870025,0.06933738188818098,0.1,16,5.024370606678701,0.08283618401736022,4.4273026683585166e-05,0.11578535779588114,-0.005744994863110473
38,0.014022039977319442,0.0008269010623357514,48,512,0.0033422555308789017,0.05850485689006746,0.1,8,11.885807417323258,0.0678146355971694,4.295759965623272e-05,0.12391797802554844,-0.00615294130162119
39,0.039671506633550666,0.000654013617251842,48,256,0.03561002975329757,0.09781124214641751,0.1,16,2.821422786662281,0.09042047582566738,4.631803442302494e-05,0.12504574381353345,-0.006205969156253648
41,0.012179799864559394,0.0006477879601787423,48,256,0.01383692603558302,0.053023721044883135,0.1,8,17.35451779544733,0.07158060681074857,4.5359591993237685e-05,0.0802622097774243,-0.003967750896877978
40,0.04568990496306737,0.0007172517327223468,24,256,0.044059992069378495,0.09067009310238064,0.1,8,4.318255550780596,0.08916884757578374,4.519786767592112e-05,0.12997514843221794,-0.006453559553934976
42,0.017869573621058902,0.000983918625533321,48,512,0.028701198007911446,0.07982292911037803,0.1,16,46.2414047212298,0.06414768002927303,4.191649743373664e-05,0.07466386946775784,-0.003691276975954156
44,0.02965185787454258,0.0007770257074956781,96,512,0.027740844897925856,0.05338576720096171,0.1,16,26.337917972001637,0.09264616169035436,4.023633160268087e-05,0.10201700324257085,-0.005060613830525862
43,0.03074232414507809,0.0005465595599812136,24,256,0.01049594315700233,0.06405170159414411,0.1,8,8.091436246321905,0.09659673925489187,4.410135270589961e-05,0.15014915505053558,-0.0074633563998208795
45,0.015151251639073545,0.0006923222281710196,24,256,0.008061596984043717,0.09025082630105317,0.1,16,6.35122211835647,0.06505672287195921,4.746949694884049e-05,0.10696778734063818,-0.005300919870083069
46,0.010070203170590314,0.0009109991767558928,96,256,0.04949727389030159,0.06755319293588401,0.1,8,2.2674053786168895,0.07762377463281155,4.1634349935054723e-05,0.04447035078435389,-0.00218188318928264
47,0.045188720619586675,0.0005101918064551021,48,512,0.017604890372604133,0.076293208822608,0.1,16,14.78562866018608,0.0800740748271346,2.7628767423390955e-05,0.18019624525959518,-0.00898218349555637
49,0.013146682989067971,0.0005881745614319228,96,512,0.03333246167749167,0.07445024903863669,0.1,8,3.637153719302681,0.061379470601677893,4.746747070812975e-05,0.05467544436800762,-0.0026863047476922515
