category,2025-predictions,2026-fifa-world-cup,airdrops,anthropic,arkansas-midterm,awards,basketball,best-of-2025,big-tech,bitcoin,brazil,bundesliga,business,california-midterm,celebrities,champions-league,claude-5,climate-science,colombia-election,colorado-midterm,commodities,congress,crypto-prices,databricks,delaware-midterm,democratic-primary,economic-policy,elon-musk,epstein,ethereum,extended,fdv,felix,fifa-world-cup,formula1,france,gemini-3,gensyn,geopolitics,german-elections
brazil,1.966521755512057e-05,5.573176083067816e-06,7.537100343957851e-06,3.2217796337666314e-05,0.0,0.00795934268198325,0.005017569017033718,1.4845269539854564e-05,1.7414658307564666e-05,9.576009315759623e-06,1.0,2.470742677272499e-05,2.081467854389751e-05,2.8542877391859645e-05,5.576123353785036e-06,-1.6652894418864628e-05,-2.95330958474308e-06,1.3696611210471557e-05,-1.6275601054237454e-05,3.902634951939414e-06,1.0251752771418912e-05,0.0010570094064295198,3.0395991769656e-06,2.3482265639499536e-05,6.360612555447915e-07,0.0016683286703831717,5.327009594344511e-06,2.2719536579969145e-06,7.543968187788913e-06,1.7510462752668398e-06,6.971074183893111e-06,-1.8192844168655624e-05,1.9655993678410724e-05,-6.075956481505216e-06,1.3147114827849453e-05,-1.624858635788621e-05,5.416153297015063e-06,6.564503150426877e-06,7.382594350893544e-06,8.90572154155919e-06
bundesliga,0.014787278455118931,-9.133722147638075e-06,-1.2352342598633656e-05,-5.280084382250386e-05,0.0,-3.1508385708043606e-05,-8.389899352471434e-07,-2.4329496352316782e-05,-2.8540395621193935e-05,-1.5693853391615472e-05,2.470742677272499e-05,1.0,-3.4112593533502655e-05,0.005656961291102939,-9.138552347045504e-06,2.7291962125140327e-05,4.840096340199153e-06,-2.2446992396425306e-05,2.667362659989865e-05,-6.395919088752874e-06,-1.6801310409880915e-05,-4.796055047975414e-06,-4.981513935458344e-06,-3.848442729088371e-05,-1.0424229721795272e-06,-1.9331705493443767e-05,-8.730286785722307e-06,-3.7234412003427775e-06,-1.2363598115438648e-05,-2.869740684228179e-06,-1.1424698182359208e-05,2.9815742627743606e-05,-3.2213657368509065e-05,9.957714857028647e-06,-2.154643816933729e-05,2.662935297086758e-05,-8.876381902634157e-06,-1.0758380305879547e-05,-1.2099127055154211e-05,-1.4595337536877812e-05
business,-2.7151009264399667e-05,-7.694669791441822e-06,-1.0406184456995022e-05,-0.006682166440723066,0.0,-2.6544120761051954e-05,-7.068039081662115e-07,-2.049629248592715e-05,-0.0036578911242420736,-1.3221227627887201e-05,2.081467854389751e-05,-3.4112593533502655e-05,1.0,-3.940805263540928e-05,-7.698738974725206e-06,2.2992010608492447e-05,0.016714246129200052,-1.8910384124852013e-05,2.2471096176234493e-05,-5.388217925318403e-06,-1.4154200618060283e-05,-4.0404184952420746e-06,0.002974492873065173,-3.2421060694577e-05,-8.78185303249232e-07,-0.03721453049437562,0.0015092269433379796,-3.136799002792612e-06,-1.0415666624714212e-05,-2.4176022212190587e-06,-9.624693915486944e-06,2.5118159978891495e-05,-0.006655666891853828,8.388839343225538e-06,-1.8151715611105844e-05,2.2433798024344767e-05,-7.477874472146676e-06,-9.063356932299953e-06,-1.0192863976947961e-05,-1.229578708719142e-05
california-midterm,0.004240724841546989,-1.0551593000331466e-05,0.0029234384842092456,-6.099736833283402e-05,0.0,-3.639958132236326e-05,-9.692303077540106e-07,0.000280631989596128,-3.297085610834108e-05,-1.8130084418877004e-05,2.8542877391859645e-05,0.005656961291102939,-3.940805263540928e-05,1.0,-1.0557173014422302e-05,3.1528622380907635e-05,5.591447368184584e-06,-2.593154510506065e-05,-0.007362631622187474,-7.388787834444397e-06,0.0019421605813322537,-5.540569338034269e-06,-5.7548178850602985e-06,-4.445854680714309e-05,0.015289197140768197,-2.2332657494022994e-05,-1.0085530460662127e-05,-4.301448573925233e-06,-0.000244630148011392,-3.3152240923253155e-06,-1.319820807150523e-05,2.9939887873930298e-05,-3.721433563562017e-05,1.150349799199221e-05,-2.489119358951572e-05,3.076315327628854e-05,-1.0254304612972782e-05,-1.2428454522215045e-05,-0.0026753555594284193,0.0001244353274384561
celebrities,-7.2735870755242456e-06,-2.0613543386336544e-06,-2.7877523091249157e-06,-1.191641772518553e-05,0.0,-7.111005407517729e-06,-1.8934838559066024e-07,-5.490829702498592e-06,-6.441171232177782e-06,-3.541884924433906e-06,5.576123353785036e-06,-9.138552347045504e-06,-7.698738974725206e-06,-1.0557173014422302e-05,1.0,6.159417116825555e-06,1.0923425772098663e-06,-5.065974683459679e-06,6.019867369510135e-06,-1.4434701811624221e-06,-3.7918226051085113e-06,-1.0824030687223259e-06,-0.08266197956028175,-8.685401185146999e-06,-2.3526039895702252e-07,-4.362897660763571e-06,-1.970304575989634e-06,-8.403290081413839e-07,-2.7902925230749924e-06,-6.4766064859145e-07,-2.57839583743708e-06,6.728999353358301e-06,0.010999137481289714,2.2473180584676263e-06,-4.862732091532707e-06,6.009875425835975e-06,-2.003276216487025e-06,-2.4280171393141877e-06,-2.7306050748727228e-06,-3.2939651402955263e-06
champions-league,2.172230955631366e-05,6.156161545068982e-06,8.325523293579652e-06,3.5587958450362536e-05,0.0,2.1236765177186767e-05,5.654822308549261e-07,1.6398167957601723e-05,1.923632919463129e-05,1.0577713574131557e-05,-1.6652894418864628e-05,2.7291962125140327e-05,2.2992010608492447e-05,3.1528622380907635e-05,6.159417116825555e-06,1.0,-3.262242323807217e-06,1.5129353527529191e-05,-1.797812016691744e-05,4.310872446434608e-06,1.1324143583529525e-05,3.2325583346128593e-06,3.357558291123244e-06,2.593864226894519e-05,7.025968286876416e-07,1.3029638961600056e-05,5.884244661592541e-06,2.509612747392972e-06,8.333109552385675e-06,1.93421553217589e-06,7.700287623970448e-06,-2.009591765933876e-05,2.1712120810389238e-05,-6.7115355918135845e-06,1.4522376742714863e-05,-1.794827958191475e-05,5.982713295309712e-06,7.251186981138282e-06,8.154855107465092e-06,9.837309941058401e-06
claude-5,3.8523456284316695e-06,1.0917652174402333e-06,1.4764909403974775e-06,6.3113508168049e-06,0.0,3.766236701503403e-06,0.003954986928885778,2.908135089500503e-06,-0.001269304202885644,1.8759058994404497e-06,-2.95330958474308e-06,4.840096340199153e-06,0.016714246129200052,5.591447368184584e-06,1.0923425772098663e-06,-3.262242323807217e-06,1.0,2.683117040180581e-06,-3.1883319061013805e-06,7.645121979628836e-07,2.0082816201831964e-06,5.732784507420355e-07,5.954465832242159e-07,4.6000916658297644e-06,1.2460211997887966e-07,0.0001725405983987787,0.0011446230354896958,4.45067577709587e-07,1.4778363263830236e-06,3.430236886416927e-07,1.365608444580737e-06,-3.563912959795088e-06,-0.003020230364724001,-1.1902580952624741e-06,2.5754726685133317e-06,-3.183039823921619e-06,1.0610050165071803e-06,1.2859626364930583e-06,1.4462237701894322e-06,1.744598927141753e-06
climate-science,-1.786608508424242e-05,-5.063297052823567e-06,-6.84754570632585e-06,-2.927025287067126e-05,0.0,-1.74667363332633e-05,-4.6509574057315263e-07,-1.3487104729671593e-05,-1.5821425120956175e-05,-8.699918865541234e-06,1.3696611210471557e-05,-2.2446992396425306e-05,-1.8910384124852013e-05,-2.593154510506065e-05,-5.065974683459679e-06,1.5129353527529191e-05,2.683117040180581e-06,1.0,1.4786577998287857e-05,-3.5455904776359757e-06,-9.31383986796815e-06,-2.6587026621699684e-06,-2.7615121655942797e-06,-2.13339188702094e-05,-5.778692495263403e-07,-1.0716569419154473e-05,-4.839651856905576e-06,-0.0029279414115429034,-6.853785224475558e-06,-1.5908464603882427e-06,-6.333304177732034e-06,1.6528416272559393e-05,-1.7857705082049497e-05,5.52007905137162e-06,-1.1944310886375692e-05,1.476203482391455e-05,-4.92063997575953e-06,-0.002289373750434811,-6.707175165784351e-06,-8.090954414923863e-06
colombia-election,-0.013915402655930068,6.016685557053442e-06,8.136897543797278e-06,3.4781666147893626e-05,0.0,2.075561815337404e-05,5.52670482447833e-07,1.602664575810609e-05,1.8800504695786336e-05,1.0338061472583832e-05,-1.6275601054237454e-05,2.667362659989865e-05,2.2471096176234493e-05,-0.007362631622187474,6.019867369510135e-06,-1.797812016691744e-05,-3.1883319061013805e-06,1.4786577998287857e-05,0.9999999999999999,4.213203925334239e-06,1.1067580122175984e-05,3.159320446961229e-06,3.2814883640196228e-06,2.5350967996353622e-05,6.866785675873675e-07,1.2734435245042663e-05,5.750929310471553e-06,2.452754148907813e-06,8.144311925839947e-06,1.890393319190333e-06,7.525827415844823e-06,-1.9640618046086635e-05,2.1220203975535427e-05,-6.559476869675819e-06,1.419335307597024e-05,-1.754163755186643e-05,5.847167006960189e-06,7.086901742498757e-06,7.97009607133915e-06,9.614432663802404e-06
colorado-midterm,-5.090661261583318e-06,-1.4427072322214622e-06,-1.951100954674148e-06,-8.340100346712806e-06,0.0,-4.976873086564935e-06,-1.32521750472661e-07,-3.84293935993614e-06,-4.508067413010864e-06,-2.4789056885683726e-06,3.902634951939414e-06,-6.395919088752874e-06,-5.388217925318403e-06,-7.388787834444397e-06,-1.4434701811624221e-06,4.310872446434608e-06,7.645121979628836e-07,-3.5455904776359757e-06,4.213203925334239e-06,0.9999999999999999,-2.6538328676318288e-06,-7.575557031411466e-07,-7.868496617194459e-07,-6.078766211976812e-06,-1.6465479644554027e-07,-3.0535186943271744e-06,-1.3789830346902526e-06,-5.881321395225837e-07,-1.9528788076929825e-06,-4.532867951117404e-07,-1.8045758812510774e-06,4.709513474123068e-06,-5.088273511143203e-06,1.5728601120616722e-06,-3.4033444058327e-06,4.206210732006299e-06,-1.402059331335704e-06,-1.699328359614795e-06,-1.911104566564286e-06,-2.305390801346551e-06
commodities,0.022874077759332718,-3.789818429988402e-06,-5.1253076103133515e-06,-2.1908440808976514e-05,0.0,-1.307364718621662e-05,-3.4811870426536545e-07,-1.0094939628980116e-05,-1.1842151050323526e-05,-6.511787183733106e-06,1.0251752771418912e-05,-1.6801310409880915e-05,-1.4154200618060283e-05,0.0019421605813322537,-3.7918226051085113e-06,1.1324143583529525e-05,2.0082816201831964e-06,-9.31383986796815e-06,1.1067580122175984e-05,-2.6538328676318288e-06,1.0,-1.990007744727101e-06,-2.0669594516474367e-06,-1.5968187936612484e-05,-0.020675469538858897,-8.021226459229265e-06,-3.6224226251624567e-06,-1.5449524143500935e-06,-5.129977816425504e-06,-1.1907299081953268e-06,-4.74040386039712e-06,1.2371325631283035e-05,-1.3366282706967847e-05,4.131714395911746e-06,-8.940176540808111e-06,1.1049209844152345e-05,-3.6830412817887375e-06,-4.463931275870384e-06,-5.0202419078562e-06,-6.055984438209609e-06
congress,-3.817292136171891e-06,-1.0818309625047385e-06,0.0025421327741171943,-6.2539221984063046e-06,0.0,-3.7319667367095587e-06,-9.937299104448258e-08,-2.881673213884627e-06,-3.380427296323826e-06,-1.8588365450044884e-06,0.0010570094064295198,-4.796055047975414e-06,-4.0404184952420746e-06,-5.540569338034269e-06,-1.0824030687223259e-06,3.2325583346128593e-06,5.732784507420355e-07,-2.6587026621699684e-06,3.159320446961229e-06,-7.575557031411466e-07,-1.990007744727101e-06,1.0,-5.900284602902764e-07,-4.558234238392662e-06,-1.234683329645822e-07,-2.289716856133811e-06,-1.0340466245446383e-06,-4.410177923591154e-07,-1.464389110264603e-06,0.004028609903577463,-0.0006926616567171559,0.004103579833620674,-3.815501653462411e-06,0.0047156078002316155,-2.5520377745653842e-06,3.154076518810417e-06,-1.0513506566126616e-06,-1.2742613288547032e-06,-1.4330642049210622e-06,0.0002204540659677825
crypto-prices,-3.964903192694816e-06,-1.1236643369621832e-06,-1.5196309490930196e-06,0.0002675121619613753,0.0,-3.8762783411786085e-06,-1.0321565010116885e-07,-2.9931047764916126e-06,-3.5111452049718193e-06,-1.9307159863868808e-06,3.0395991769656e-06,-4.981513935458344e-06,0.002974492873065173,-5.7548178850602985e-06,-0.08266197956028175,3.357558291123244e-06,5.954465832242159e-07,-2.7615121655942797e-06,3.2814883640196228e-06,-7.868496617194459e-07,-2.0669594516474367e-06,-5.900284602902764e-07,1.0,0.005086366230335124,-1.2824273597755314e-07,0.0007919526889880787,0.0010007001334628618,-4.580715309659745e-07,-1.5210156444721484e-06,-3.5304613070772927e-07,-1.4055086962938841e-06,3.6680431185866654e-06,-3.56229040736184e-05,1.225034972773668e-06,-2.6507226482296487e-06,3.2760416581537943e-06,-1.0920053866316203e-06,-1.3235358025741475e-06,-1.4884794348303525e-06,-1.795572496182654e-06
databricks,-3.0630653775558745e-05,-8.680810499672527e-06,-1.1739830004944297e-05,0.09231219477191085,0.0,-2.9945987086153593e-05,-7.97387146366243e-07,-2.312307556251949e-05,-2.7125169998445183e-05,-1.4915646118854656e-05,2.3482265639499536e-05,-3.848442729088371e-05,-3.2421060694577e-05,-4.445854680714309e-05,-8.685401185146999e-06,2.593864226894519e-05,4.6000916658297644e-06,-2.13339188702094e-05,2.5350967996353622e-05,-6.078766211976812e-06,-1.5968187936612484e-05,-4.558234238392662e-06,0.005086366230335124,1.0,-9.907325990176667e-07,-1.837310893751892e-05,-8.297380188445965e-06,-3.5388078314975667e-06,-1.1750527397188903e-05,-2.727439554240948e-06,-1.0858184465631101e-05,2.8337276684606524e-05,0.0012568860159583514,9.463944083944222e-06,-2.0478020205489394e-05,2.530888975295329e-05,-8.436230922495322e-06,-1.0224907130855418e-05,-1.1499170598729863e-05,-1.3871602101337113e-05
delaware-midterm,0.03636986604378467,-2.3513605161803486e-07,-3.1799533858991635e-07,-1.3592905212057471e-06,0.0,-8.111432873273855e-07,-2.1598728046807358e-08,-6.263319178929697e-07,-7.347361600889494e-07,-4.040182809961217e-07,6.360612555447915e-07,-1.0424229721795272e-06,-8.78185303249232e-07,0.015289197140768197,-2.3526039895702252e-07,7.025968286876416e-07,1.2460211997887966e-07,-5.778692495263403e-07,6.866785675873675e-07,-1.6465479644554027e-07,-0.020675469538858897,-1.234683329645822e-07,-1.2824273597755314e-07,-9.907325990176667e-07,1.0,-4.976701532326482e-07,-2.2475012170533613e-07,-9.585525464148574e-08,-3.182850975416989e-07,-7.387782141322307e-08,-2.941143137622876e-07,7.67568345552408e-07,-8.292996085745632e-07,2.563486951749837e-07,-5.546856271425221e-07,6.855387993580571e-07,-2.2851115454559386e-07,-2.7696080809762804e-07,-3.114766267037376e-07,-3.757383884693061e-07
democratic-primary,-1.538655553803177e-05,-4.360591642824294e-06,-5.897214852187647e-06,-0.00014861409384869464,0.0,0.02382877356623264,-4.005478205845891e-07,-1.1615308277727742e-05,-0.004109637714090589,-7.492507965205149e-06,0.0016683286703831717,-1.9331705493443767e-05,-0.03721453049437562,-2.2332657494022994e-05,-4.362897660763571e-06,1.3029638961600056e-05,0.0001725405983987787,-1.0716569419154473e-05,1.2734435245042663e-05,-3.0535186943271744e-06,-8.021226459229265e-06,-2.289716856133811e-06,0.0007919526889880787,-1.837310893751892e-05,-4.976701532326482e-07,1.0,-6.253331840343402e-05,-1.7776330742602818e-06,-5.902588424083293e-06,-1.370062176452697e-06,-5.454341900325261e-06,1.4234533963866237e-05,-0.007155013971051478,4.753979537074039e-06,-1.0286629776464117e-05,1.2713298274417743e-05,-4.237733107871798e-06,-5.136230607176638e-06,-5.776325518704702e-06,-6.968058132133771e-06
economic-policy,-6.948638987753072e-06,-1.9692631677087805e-06,-2.6632092504359527e-06,-0.0030186280324590513,0.0,-6.793320668839048e-06,-1.8088923123074714e-07,-5.245526443792189e-06,-6.153411389170937e-06,-3.3836509304863413e-06,5.327009594344511e-06,-8.730286785722307e-06,0.0015092269433379796,-1.0085530460662127e-05,-1.970304575989634e-06,5.884244661592541e-06,0.0011446230354896958,-4.839651856905576e-06,5.750929310471553e-06,-1.3789830346902526e-06,-3.6224226251624567e-06,-1.0340466245446383e-06,0.0010007001334628618,-8.297380188445965e-06,-2.2475012170533613e-07,-6.253331840343402e-05,1.0,-8.027872420969189e-07,-2.6656359801214463e-06,-6.187263570085057e-07,-2.46320579596316e-06,6.428380765889756e-06,-6.94537976169928e-06,2.146918943404305e-06,-4.645489144127228e-06,5.741383757680304e-06,-1.9137796903476346e-06,-2.3195452782765386e-06,-2.6086150734697423e-06,-3.1468069826464596e-06
elon-musk,-2.963573743718804e-06,-8.398848506289397e-07,-1.1358507791974492e-06,-4.855263616541414e-06,0.0,-2.897330945284597e-06,-7.714871605005781e-08,-2.2372013380138637e-06,-2.624411551584555e-06,-1.4431170007752237e-06,2.2719536579969145e-06,-3.7234412003427775e-06,-3.136799002792612e-06,-4.301448573925233e-06,-8.403290081413839e-07,2.509612747392972e-06,4.45067577709587e-07,-0.0029279414115429034,2.452754148907813e-06,-5.881321395225837e-07,-1.5449524143500935e-06,-4.410177923591154e-07,-4.580715309659745e-07,-3.5388078314975667e-06,-9.585525464148574e-08,-1.7776330742602818e-06,-8.027872420969189e-07,1.0,-1.1368857721508304e-06,-2.638849405485313e-07,-1.0505499041103653e-06,2.741685168271868e-06,-2.9621836935532665e-06,9.156545075622194e-07,-0.0206812336474157,2.4486829991956636e-06,-8.162213134929175e-07,0.022397831708245653,-1.112566526023361e-06,-1.3421037654632637e-06
epstein,-0.0004243995999504724,-2.7888177086000993e-06,0.0012623823997426418,-1.612178758019768e-05,0.0,-9.620518624450468e-06,-2.561704802195252e-07,-7.428573934252874e-06,-8.71429625644183e-06,-4.791835743120891e-06,7.543968187788913e-06,-1.2363598115438648e-05,-1.0415666624714212e-05,-0.000244630148011392,-2.7902925230749924e-06,8.333109552385675e-06,1.4778363263830236e-06,-6.853785224475558e-06,8.144311925839947e-06,-1.9528788076929825e-06,-5.129977816425504e-06,-1.464389110264603e-06,-1.5210156444721484e-06,-1.1750527397188903e-05,-3.182850975416989e-07,-5.902588424083293e-06,-2.6656359801214463e-06,-1.1368857721508304e-06,1.0,-8.762236807606482e-07,-3.4883260177335652e-06,9.103700516740563e-06,-9.835860635552064e-06,3.04040905575849e-06,-6.578817195506865e-06,8.130793769863275e-06,-2.7102434952820864e-06,-3.284877843654989e-06,-0.0014771783720402998,0.0028266535864421034
