label,basketball::25475523485165949975510012377759235530663609002114542535065321675093084569420,bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,comex-gold-futures::91179457738197972030536046159970584284769890945507129337353196559348761227632,celebrities::53329768000302886237348067067040092244986863349220930322162535687958966280479,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,business::391670908629060088409431896998377161667071768186645889213963384874929102170,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931
comex-gold-futures::91179457738197972030536046159970584284769890945507129337353196559348761227632,-0.00018514694772838757,0.0002595307406979455,-0.00014207748496814412,-0.00023842689216298997,0.00029848025281180654,-8.2122663505488e-05,0.00022467656445713377,0.00022467656445713483,-0.00023437994076171327,-9.092242818621822e-05,0.9999999999999999,-0.00011526707086114343,-0.0002536805228771004,-0.00019608120621230916,0.0001636001276066771,3.751678761592264e-05,-0.00038652958132087516,0.00014696657921930062,-2.876368817378237e-05,0.0002816191869155618
celebrities::53329768000302886237348067067040092244986863349220930322162535687958966280479,-0.0026617209526885216,0.00028436804995304757,-0.0001556744192767767,-0.0002612445454377331,0.00032704506299841425,0.01716942989939169,0.0002461782998538297,0.0002461782998538309,-0.0002568102973978265,-9.962378071583297e-05,-0.00011526707086114344,1.0,-0.00027795796138688775,-0.00021484634187489052,0.00017925679684212408,0.003921814154079038,-0.00042352078599163455,0.00016103140394263703,-3.151639722307611e-05,0.00030857037897388643
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-0.0004464680828888493,0.0006258390628190104,-0.00034260927935173674,-0.0005749487029584644,0.0007197629120441217,-0.00019803269017867168,0.0005417908112122278,0.0005417908112122305,-0.0005651897808922823,-0.00021925266768886036,-0.0002536805228771004,-0.00027795796138688775,1.0,-0.0004728352333227117,0.0003945095300197705,0.10091386213553885,-0.0009320873137229775,0.00035439896621484096,-6.936149298340092e-05,0.0006791037067019721
felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,-0.0003450954737686094,0.00048373945678037764,-0.00026481828400899156,-0.0004444039846169496,0.0005563374687967882,-0.00015306846705970522,0.00041877474302079145,0.00041877474302079193,-0.00043686087019742005,-0.0001694703521504656,-0.00019608120621230916,-0.0002148463418748905,-0.00047283523332271175,1.0,0.000304934346678257,6.992755622191856e-05,-0.0007204526492502182,0.0002739310688407351,-0.0011446224373351645,0.0005249101209787378
congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,0.0002879300093854936,-0.0004036074562493464,0.00022095082896185812,0.00037078795054701423,-0.0004641795236050394,0.00012771249844521423,-0.0003494042224652185,-0.0003494042224652175,0.0003644943617557901,0.00014139739229951942,0.0001636001276066771,0.00017925679684212406,0.0003945095300197705,0.000304934346678257,1.0,-5.834397565232194e-05,-0.18897297141891298,-0.000228554070445964,4.4731652924619186e-05,-0.000437958152303364
foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,6.602812093360783e-05,-9.255527754057942e-05,5.066845267782271e-05,-0.05768704697810551,-0.00010644566637881179,2.9287035102976135e-05,-8.012538986430358e-05,-8.012538986430347e-05,8.358586119241903e-05,0.17765054903614472,3.751678761592264e-05,0.003921814154079038,0.10091386213553885,6.992755622191856e-05,-5.8343975652321934e-05,1.0,0.00013784630129204785,-5.2412028310218176e-05,1.0257864385758395e-05,-0.00010043258049364383
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.000680277378787042,0.0009535825146610744,-0.000522029124674384,-0.000876041561705462,0.0010966930132728313,-0.0003017397313537277,0.0008255193305589981,0.0008255193305589996,-0.000861172024156413,-0.00033407232405586573,-0.00038652958132087516,-0.00042352078599163455,-0.0009320873137229775,-0.0007204526492502182,-0.18897297141891298,0.00013784630129204785,1.0,0.0005399929110755521,-0.00010568516864676049,0.001034741132066094
business::391670908629060088409431896998377161667071768186645889213963384874929102170,0.0002586555961356286,-0.0003625718882993797,0.00019848632139373673,0.00033308920662118154,-0.0004169854738248678,0.00011472771625930253,-0.0003138796044459757,-0.00031387960444597605,-0.08753862928605576,0.00012702123990239903,0.0001469665792193006,0.00016103140394263703,0.00035439896621484096,0.0002739310688407351,-0.000228554070445964,-5.241202831021818e-05,0.0005399929110755521,1.0,4.0183697343816336e-05,-0.0003934300811792756
claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,-5.062299844747034e-05,7.096106333168926e-05,0.10031378168912378,-6.519083538719157e-05,8.161066417826985e-05,-2.2454031881959724e-05,6.143121187383869e-05,6.143121187383841e-05,-6.408431531209317e-05,-2.4860069244367445e-05,-2.8763688173782366e-05,-3.1516397223076115e-05,-6.936149298340092e-05,-0.0011446224373351645,4.4731652924619186e-05,1.0257864385758395e-05,-0.00010568516864676049,4.0183697343816336e-05,1.0,-0.022349259263139114
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,0.0004956390702009761,-0.0006947647616465586,0.000380341957618499,0.000638269680340253,-0.0007990327509693744,0.0002198426767585781,-0.0006014600017433306,-0.0006014600017433286,0.0006274359763322352,0.00024339967965737846,0.0002816191869155618,0.00030857037897388643,0.0006791037067019721,0.0005249101209787378,-0.000437958152303364,-0.00010043258049364384,0.001034741132066094,-0.00039343008117927555,-0.022349259263139114,1.0
