label,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,business::73927186257882802877663040737479279251981612783026680169571204930062095676076,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,foreign-policy::5161623255678193352839985156330393796378434470119114669671615782853260939535,bernie-sanders::7096166888327966243811396544854606771946352128513885963401994819079689910004,celebrities::57955640188079704627338459527408392992687219573092607243447477832343715648687,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,best-of-2025::54629028506523833335885803700179643513606668084450837932008867003134712218517,democratic-primary::36538842701383075131399258783814730353525125143988435459349182813934073807848,comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,france::63931284508031754808359645663279593286333277328858705756576520335090573316938,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,awards::47252200832793247423089215877857667425039333476763845614656878203768571431091,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,fifa-world-cup::96570915933183650323624717300751327226821728969018565701035634346205052779472,connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919
democratic-primary::36538842701383075131399258783814730353525125143988435459349182813934073807848,0.0003822176230527819,-0.00011299390369508654,-7.623880833194193e-05,6.644511001252569e-05,-0.00017029068389754024,0.00013939573893092096,0.00010282252220205009,0.00017868690396362255,-0.0001911157311454336,0.0002014992571480924,1.0,2.7470649748627666e-05,-0.0001786869039636161,-0.0001386122225782016,-5.273706341760045e-05,-0.00012887361238830505,-0.0001298921177753397,-0.017100891650373304,9.760459200159645e-05,6.999045462688593e-05
comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,-0.00017091851987024756,5.0528153620114935e-05,3.409215978240685e-05,-2.971265365853945e-05,7.61498944161501e-05,-6.23344187638438e-05,-4.59797566730039e-05,-7.990448190674678e-05,8.546235422218903e-05,-9.010561708702943e-05,2.7470649748627666e-05,1.0,7.990448190674701e-05,6.198404911256863e-05,0.012084999451098023,5.762917707407877e-05,5.808462816458836e-05,5.069299017848224e-05,-4.364642389906025e-05,-3.1298046422684094e-05
france::63931284508031754808359645663279593286333277328858705756576520335090573316938,0.001111764789880361,-0.0003286678479029383,-0.0002217574952429306,0.00019327034996880578,-0.0004953282501466269,0.00040546344557576786,0.000299082127291519,0.0005197505197505148,-0.0005559025221880063,0.0005861053121911329,-0.00017868690396361607,7.990448190674701e-05,1.0,-0.00040318441436236317,-0.00015339745394544712,-0.00037485750513975346,-0.00037782005411528323,-0.000329740051674736,0.00028390461918347725,0.00020358277166917875
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,0.0008624257575187389,-0.00025495646226594897,-0.001970410744012157,0.00014992499267375514,-0.00038423940499060803,0.05476631796257945,0.00023200602549885253,0.0004031844143623603,-0.00043122849200518006,0.0004546576060450566,-0.0001386122225782016,6.198404911256863e-05,-0.00040318441436236317,1.0,-0.00011899451810718009,-0.0002907870178785875,-0.00029308514655443867,-0.00025578819948098697,0.00022023242550138077,0.00015792461469611992
awards::47252200832793247423089215877857667425039333476763845614656878203768571431091,0.00032812259280797125,-9.700194448336183e-05,-6.544877565473443e-05,5.7041173566482684e-05,-0.00014618954585406385,0.00011966714386187224,8.827011249383251e-05,0.00015339745394544395,-0.00016406723669352006,0.0001729811885078483,-5.2737063417600456e-05,0.012084999451098023,-0.0001533974539454471,-0.0001189945181071801,1.0,-0.00011063420755861827,-0.00011150856449096293,-9.731839116778941e-05,8.379067281548564e-05,6.008474769049027e-05
comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,0.0008018334943403656,-0.0002370437446482623,-0.0001599372357582322,0.00013939157048187194,-0.00035724353323268883,0.00029243071407961856,0.00021570575845158036,0.0003748575051397543,-0.0004009312634613852,0.0004227142960483776,-0.00012887361238830505,5.762917707407877e-05,-0.00037485750513975346,-0.0002907870178785875,-0.00011063420755861827,1.0,-0.0002724935858561514,-0.00023781704571411143,0.0002047593474189353,0.00014682915548401736
bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,0.0008081704916383448,-0.0002389171330511492,-0.00016120124111346036,0.0001404932006977932,-0.0003600668766335382,0.0002947418331062658,-0.003112811249228359,0.00037782005411528003,-0.000404099876834579,0.00042605506364014757,-0.0001298921177753397,5.808462816458836e-05,-0.00037782005411528323,-0.0002930851465544386,-0.00011150856449096293,-0.00027249358585615136,1.0,-0.00023969654561870052,0.0002063775879146158,0.00014798956592849407
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,0.0007053256617064395,-0.00020851340986317515,-0.00014068735895783277,0.00012261454825768632,-0.00031424607882586555,0.0002572340621430103,0.00018974364115197564,0.0003297400516747362,-0.00035267559997895117,0.0003718368497668946,-0.017100891650373307,5.0692990178482246e-05,-0.00032974005167473597,-0.00025578819948098697,-9.731839116778941e-05,-0.00023781704571411143,-0.00023969654561870052,1.0,0.000180114728591697,0.0001291569533831482
fifa-world-cup::96570915933183650323624717300751327226821728969018565701035634346205052779472,-0.0006072820464789285,0.00017952905605852243,0.00012113114820596207,-0.00010557054398654532,0.0002705643821120097,-0.00022147730638972588,-0.0001633683743001188,-0.0002839046191834718,0.00030365201739611353,-0.0003201497625031854,9.760459200159645e-05,-4.364642389906025e-05,0.0002839046191834772,0.00022023242550138077,8.379067281548564e-05,0.0002047593474189353,0.00020637758791461583,0.000180114728591697,1.0,-0.00011120352374212398
connecticut-primary::105553217293060706571503179519164863553151391260530944399118771327258349812919,-0.00043547076677614624,0.00012873697840022627,8.686091462042458e-05,-7.57026920281092e-05,0.0001940167334499224,-0.00015881729584507487,-0.00011714845126071342,-0.00020358277166918957,0.00021774326709522642,-0.00022957349615191052,6.999045462688593e-05,-3.1298046422684094e-05,0.00020358277166917873,0.00015792461469611992,6.008474769049026e-05,0.00014682915548401736,0.00014798956592849407,0.0001291569533831482,-0.00011120352374212397,0.9999999999999998
