label,best-of-2025::43730668550917761725713780192382120243054780302570603837017194778854370301083,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,california-midterm::97079880955117270083666806029014143818118511996487378321036003805764596740938,crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,climate-science::106675477628507501040585426713979928715996831915977868937330396914038840931958,congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,celebrities::23005637933822940407409688590812244627276491317942755040724456648138996410008,bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,business::73927186257882802877663040737479279251981612783026680169571204930062095676076,fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,base::22056280440419108399189383402666130126211471357531451866320292446775191982898
crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,0.0008324801436522966,0.0006539428407386325,0.00046515698672734083,0.0010940187841446355,-0.0008447965674942717,0.00016690194133172595,0.0005407093651048139,0.0005946031117528811,-0.0007355925636616821,-0.0007355925636616818,1.0,0.00021566017874722186,-0.0002657475209629418,-0.0009220337315404313,0.00018559793857090637,-0.00043997586323970124,0.0009489282533525315,-0.00025383051259907704,0.0002676394003642894,0.0014687215424450584
climate-science::106675477628507501040585426713979928715996831915977868937330396914038840931958,-0.0029453569644747922,0.14765427255325378,-9.645871358258395e-05,-0.0002268645802704744,0.0001751838464532187,-3.461013596412198e-05,0.13221801783459114,-0.00012330170864552744,0.0001525384212992924,0.0001525384212992924,0.00021566017874722186,0.9999999999999999,5.510755452733101e-05,0.0001912003692557158,-3.84870891096032e-05,9.123695222569752e-05,-0.00019677743474205798,5.263634732346027e-05,0.070630037864804,-0.000304565973720034
congress::30199410412355494592582461157185905805005714926979062970059503436470906149649,0.00021272330003497004,0.0017437249299438909,-0.10058011990824291,0.00027955415854421264,-0.00021587051062523812,0.08133554305564838,0.00013816723603794472,0.00015193868239091204,-0.00018796565757927172,-0.00018796565757927167,-0.0002657475209629418,5.5107554527331e-05,1.0,-0.012654864670848599,4.7425762972888374e-05,-0.00011242684678755962,0.00024247923639830963,-6.486120383935117e-05,-0.01966192727250828,0.00037530179635352997
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,0.0007380616662241071,0.0005797737595678506,0.0004123996749923253,0.0009699370403764463,-0.0007489811822894998,-0.021709976455619305,0.00047938303152960423,0.0005271642413920009,-0.0006521629102362851,-0.0006521629102362851,-0.0009220337315404311,0.00019120036925571583,-0.012654864670848599,0.9999999999999998,0.0001645477370648431,-0.000390074551563981,0.0008413024300181113,-0.0002250414889723029,0.00023728419624935838,0.0013021416511875316
celebrities::23005637933822940407409688590812244627276491317942755040724456648138996410008,-0.00014856584862741102,-0.00011670377225085274,-8.301272169078765e-05,-0.00019524048750003639,0.00015076385896326254,-2.9785609591507986e-05,-9.649593002321282e-05,-0.00010611390141572259,0.00013127512325393555,0.00013127512325393555,0.00018559793857090637,-3.84870891096032e-05,4.7425762972888374e-05,0.00016454773706484307,1.0,7.851885476932721e-05,-0.00016934738001958395,4.5299033015210514e-05,-4.7763391048350124e-05,-0.00026211059088256594
bernie-sanders::78994096084018614649961134380557835172033452849084058029827070275341232468538,0.0002806621122546437,0.00027665632137278793,0.0001967887906892277,0.0004628343541345577,-0.0003573986839695888,7.060934724303364e-05,0.0002287518947569659,0.03801919426483095,-0.00031119896115378416,-0.00031119896115378416,-0.0004399758632397013,9.123695222569751e-05,-0.00011242684678755964,-0.000390074551563981,7.851885476932721e-05,0.9999999999999999,0.00040145251765840237,-0.00010738525065663162,0.00011322722315541925,0.0006213556808647939
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.0007595899627515776,-0.0005966850042321276,-0.0004244288358299134,-0.0009982288392515115,0.0007708279868638678,-0.00015228836431236572,-0.0004933660095452657,-0.0005425409350027476,0.0006711856520453988,0.0006711856520453988,0.0009489282533525315,-0.00019677743474205798,0.00024247923639830963,0.0008413024300181113,-0.00016934738001958395,0.00040145251765840237,0.9999999999999998,0.00023160565579913572,-0.00024420546688556363,-0.0013401234254354264
business::73927186257882802877663040737479279251981612783026680169571204930062095676076,0.00020318407522292736,0.00015960833703636845,0.00011353122702366508,0.0002670180143369123,-0.00020619015435583153,4.0735886448437266e-05,0.00013197135469346109,0.00014512524329546566,-0.00017953664832502113,-0.00017953664832502113,-0.00025383051259907704,5.263634732346028e-05,-6.486120383935116e-05,-0.0002250414889723029,4.5299033015210514e-05,-0.00010738525065663162,0.0002316056557991357,1.0,6.532295631420252e-05,0.000358472007575418
fdv::3783874556587832518151104525711027133710881159533628607061884012946071097261,-0.00021423769545835525,0.7528561167664932,-0.00011970755293406656,-0.00028154432858303383,0.00021740731131082627,-0.015717632192195186,0.7340652690772901,-0.00015302034690632178,0.00018930380122195652,0.00018930380122195652,0.0002676394003642894,0.07063003786480401,-0.01966192727250828,0.0002372841962493584,-4.7763391048350124e-05,0.00011322722315541925,-0.00024420546688556363,6.532295631420252e-05,1.0,-0.00037797360204051643
base::22056280440419108399189383402666130126211471357531451866320292446775191982898,-0.0011756696439133396,-0.000923530432014719,-0.0006569177092324195,-0.001545027451041587,0.0011930635069898482,-0.0002357071786397684,-0.0007636165157578882,-0.0008397279310439085,0.0010388402101595918,0.0010388402101595918,0.0014687215424450584,-0.00030456597372003393,0.00037530179635352997,0.0013021416511875316,-0.00026211059088256594,0.0006213556808647939,-0.0013401234254354264,0.0003584720075754179,-0.00037797360204051643,0.9999999999999998
