exchange,exchange_event_id,exchange_market_id,exchange_symbol,question,event_title,domain,end_time_utc,liquidity,fee_bps
polymarket,79041,676739,11876606915924142133615854761923277060697657209957870741155164849437788272266,Will NVIDIA be the largest company in the world by market cap on December 31?,Largest Company end of December 2026?,business,2026-12-31T00:00:00Z,67629.3525,0.0
polymarket,57096,628947,89694314427486889897766629507723742460669068230376416068996390119126818537632,Will Chad Bianco win the California Governor Election in 2026?,California Governor Election Winner,california-midterm,2026-11-03T00:00:00Z,28015.0645,0.0
polymarket,85704,692324,68207341820749052475650610432894562714266620914604033880285153252182288802957,Will Rand Paul announce a presidential run before 2027?,Who will announce Presidential run before 2027?,celebrities,2026-12-31T00:00:00Z,16146.3586,0.0
polymarket,33506,566170,43478780997313571844864646081201368302664941062507392308569466005072068318763,Will Club Brugge win the 2025–26 Champions League?,UEFA Champions League Winner ,champions-league,2026-05-31T00:00:00Z,922231.64012,0.0
polymarket,36308,573828,63907313656443890447578607530571289622813903996374626191028175281541399992719,"Will Claude 5 be released by March 31, 2026?",Claude 5 released by…?,claude-5,2026-04-30T00:00:00Z,35928.56143,0.0
polymarket,102007,909466,86511993606190995539996371064900122466738869186406355817612580895605974257272,SpaceX IPO closing market cap above $1T?,SpaceX IPO closing market cap above ___ ?,climate-science,2027-12-31T00:00:00Z,26133.4409,0.0
polymarket,34584,569364,75712298340810272859765060308006832993211601931382911468417184675550881103879,Will Juan Manuel Galán win the 2026 Colombian presidential election?,Colombia Presidential Election,colombia-election,2026-06-21T14:00:00Z,119912.15504,0.0
polymarket,57640,630666,68194463917260305435439145066031544476540679280823247532132832363696000101185,Will the Democrats win the Colorado Senate race in 2026?,Colorado Senate Election Winner,colorado-midterm,2026-11-03T00:00:00Z,24232.9972,0.0
polymarket,106981,950853,4655209727295513535859117642120184432334179761721646415109648555849060899062,Will Gold have the best performance in 2026?,Bitcoin vs. Gold vs. S&P 500 in 2026,commodities,2026-12-31T00:00:00Z,23645.5034,0.0
polymarket,106193,943825,15394416147421266264002744586901575755411758481406494583013250092373628427765,Will the Republican Party hold exactly 53 Senate seats after the 2026 midterm elections?,Republican Senate seats after the 2026 midterm elections?,congress,,19149.2763,0.0
polymarket,89502,1057883,13433573766910980267981622064090484781359464703732825845886677588040916221533,"Will Bitcoin reach $250,000 by December 31, 2026?",What price will Bitcoin hit in 2026?,crypto-prices,2027-01-01T05:00:00Z,413474.23648,0.0
polymarket,48297,608390,82712470265251700739331694672360544122893066934757473974734613171971970115364,Will Databricks’ market cap be $250B or greater at market close on IPO day?,Databricks IPO Closing Market Cap,databricks,2026-06-30T00:00:00Z,6322.04551,0.0
polymarket,57641,630680,18791277393217683755628516529477058015186638022373024614300661393042993809537,Will the Republicans win the Delaware Senate race in 2026?,Delaware Senate Election Winner,delaware-midterm,2026-11-03T00:00:00Z,32217.2317,0.0
polymarket,45018,599323,51273396751548994017117054764897754414228591289652072971120018616721173971444,Will Graham Platner be the Democratic nominee for Senate in Maine?,Maine Democratic Senate Primary Winner,democratic-primary,2026-06-09T00:00:00Z,38163.7735,0.0
polymarket,98133,836162,32431890167345181985795456212069136470689842825539004695200064630822423107335,Elon Musk trillionaire before 2027?,Elon Musk trillionaire before 2027?,elon-musk,2026-12-31T00:00:00Z,14487.6625,0.0
polymarket,84575,996893,108548893345759572446077602443398325305734327289834850738242401844282632332811,Epstein client list released by June 30?,Epstein client list released by...?,epstein,2026-06-30T00:00:00Z,35851.166,0.0
polymarket,103576,921192,79895259217313803731994821165811563835560123915015381398339503448680100356036,Will Bitmine announce that it holds more than 7M ETH before 2027?,Will Bitmine announce that it holds more than ___ ETH before 2027?,ethereum,2027-01-01T05:00:00Z,30184.7715,0.0
polymarket,91926,904737,30168634295384984099987626703440157654602987915064535215384295190163901851184,Extended FDV above $300M one day after launch?,Extended FDV above ___ one day after launch?,extended,2027-01-01T05:00:00Z,43048.7605,0.0
polymarket,52130,618454,42645635688384173938505005153732536262139883933750646945028210271328873690888,Opensea FDV above $500M one day after launch?,Opensea FDV above ___ one day after launch?,fdv,2027-01-01T05:00:00Z,39550.49933,0.0
polymarket,91927,716909,56940108685601594440972125972550948538859641414755179784371446688257727053902,Felix Protocol FDV above $2B one day after launch?,Felix FDV above ___ one day after launch?,felix,2027-01-01T05:00:00Z,13508.87193,0.0
polymarket,98349,840929,76641034721053425080952855862174690067662519247667787282293691334146019135577,Will Europe win the 2026 FIFA World Cup?,Which continent will win the 2026 Fifa World Cup?,fifa-world-cup,,42386.5518,0.0
polymarket,100371,898418,39133371819296059003541521092128254346605102576351704426326802558136998572706,Will Lance Stroll be the 2026 F1 Drivers' Champion?,F1 Drivers' Champion,formula1,2026-12-06T00:00:00Z,369420.10148,0.0
polymarket,79987,679041,63931284508031754808359645663279593286333277328858705756576520335090573316938,Will François Bayrou win the 2027 French presidential election?,Next French Presidential Election,france,2027-04-30T00:00:00Z,105316.99031,0.0
polymarket,96022,801458,111646250931838932302421100465311863857465734768037379595335905351441550302588,Will Meituan have the best AI model at the end of March 2026?,Which company has the best AI model end of March?,gemini-3,2026-03-31T00:00:00Z,136022.09041,0.0
polymarket,101714,1022527,5906729942132388187374842778427213872782907171873674796265663843960406830445,Gensyn FDV above $400M one day after launch?,Gensyn FDV above ___ one day after launch?,gensyn,2027-01-01T05:00:00Z,18184.5301,0.0
polymarket,60182,637002,96308556109755835434254900303426519652053230974356832970824534225192181988516,Will Donald Trump win the Nobel Peace Prize in 2026?,Nobel Peace Prize Winner 2026,geopolitics,2026-10-10T00:00:00Z,364700.2512,0.0
polymarket,95248,789953,67784084156063245454459357229936847964117127235086701895468125487885758601780,Will AfD win the most seats in the 2026 Berlin state elections?,Berlin State Election Winner,german-elections,2026-09-20T00:00:00Z,8247.95606,0.0
polymarket,33705,566760,703229116919803457142440034780425874346022451261358752931225117413237404457,Will Trump pardon Ghislaine Maxwell by end of 2026?,Will Trump pardon Ghislaine Maxwell by end of 2026?,ghislaine-maxwell,2026-12-31T00:00:00Z,67007.9891,0.0
