uniform_mix,entropy_lambda,concentration_penalty_lambda,max_weight,hedge_allocation,feasible,max_domain_exposure,baseline_holdout_capital_gain,pm_holdout_capital_gain,combined_holdout_capital_gain,excess_vs_baseline_pm_only,excess_vs_baseline_combined
0.0,0.0,40.0,0.22,0.15,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.169847894465466,0.17135459683111876,0.14138148295768538
0.0,0.0,40.0,0.22,0.3,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.1398747673999996,0.17135459683111876,0.11140835589221898
0.0,0.0,40.0,0.22,0.45,True,0.11059428006410599,0.02846641150778062,0.19982100833889938,0.10990162714251417,0.17135459683111876,0.08143521563473355
0.0,0.02,12.0,0.14,0.0,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.024869281888566297,-0.003597129619214323,-0.003597129619214323
0.0,0.02,12.0,0.14,0.15,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.021338756701561934,-0.003597129619214323,-0.007127654806218686
0.0,0.02,12.0,0.14,0.3,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.017737543512265086,-0.003597129619214323,-0.010728867995515534
0.0,0.02,12.0,0.14,0.45,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.014065729314351794,-0.003597129619214323,-0.014400682193428826
0.0,0.02,12.0,0.22,0.0,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.024869281888566297,-0.003597129619214323,-0.003597129619214323
0.0,0.02,12.0,0.22,0.15,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.021338756701561934,-0.003597129619214323,-0.007127654806218686
0.0,0.02,12.0,0.22,0.3,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.017737543512265086,-0.003597129619214323,-0.010728867995515534
0.0,0.02,12.0,0.22,0.45,True,0.025124190375208855,0.02846641150778062,0.024869281888566297,0.014065729314351794,-0.003597129619214323,-0.014400682193428826
