prefix,n_steps,fee_bps,pipeline_baseline_logw,dynamic_feeaware_logw,neh_logw,dynamic_minus_pipeline_logw,dynamic_minus_neh_logw,pipeline_sortino,dynamic_sortino,neh_sortino,dynamic_minus_pipeline_sortino,dynamic_minus_neh_sortino,pipeline_maxdd,dynamic_maxdd,neh_maxdd,dynamic_avg_turnover
week13_T_seed7,7085,10.0,0.9691501471526971,0.9644531757196879,-0.6095223573262535,-0.004696971433009178,1.5739755330459415,0.05039178986823607,0.05017868509851121,-0.01890361360860752,-0.00021310476972486586,0.06908229870711873,-0.23004619193062503,-0.2300461919306257,-0.5463955535690617,0.0006627811283427454
week14_MF_seed7,7672,10.0,0.9239682601818227,0.920744549613856,-0.3982220446715503,-0.0032237105679666644,1.3189665942854063,0.046405546205376215,0.046263189580445195,-0.007612029453141096,-0.00014235662493101986,0.05387521903358629,-0.24364873926239894,-0.24364873926239872,-0.5277352228330674,0.0004199586047022874
week14_M_seed7,7454,10.0,0.7467280628638988,0.7423779133227861,-0.8255930185423781,-0.00435014954111268,1.5679709318651642,0.03840303484197039,0.038215325700999274,-0.026091674165575413,-0.0001877091409711179,0.06430699986657469,-0.21478470187582643,-0.2147847018758272,-0.6429867113916561,0.0005832835558662737
week14_M_smoke,6793,10.0,0.5590226408141741,0.5552893695875974,-0.6858154660007727,-0.003733271226576629,1.24110483558837,0.03221318218175315,0.03203985337236155,-0.023223698864270777,-0.00017332880939159578,0.05526355223663233,-0.22057992188945652,-0.2205799218894562,-0.6307564959774533,0.0005494611141607824
week17,60593,10.0,6.938844683722125,6.933474420313683,-0.009757515903067684,-0.005370263408441822,6.94323193621675,0.13415318998140888,0.1340512332880474,0.0022564684801250267,-0.00010195669336146573,0.13179476480792238,-0.08254136790419253,-0.08254136790419198,-0.24608571878325702,8.859227866100666e-05
week8,57141,10.0,1.5569623647176887,1.5517263562563464,-0.13143878177494256,-0.005236008461342312,1.6831651380312889,0.04271906064031175,0.042581258617750584,0.005227919075440136,-0.00013780202256116758,0.037353339542310446,-0.07047244474462877,-0.07047244474462866,-0.5671296314055765,9.161307650706832e-05
week8_A,10424,10.0,1.4827047911519036,1.4770330722036928,-0.15601459757114444,-0.005671718948210724,1.6330476697748373,0.12909679387067224,0.12865629390421285,-0.0031708203615720115,-0.0004404999664593956,0.13182711426578486,-0.10252021136902123,-0.10252021136901956,-0.32057655321204415,0.000543876417116288
week8_B,10425,10.0,1.4399168184873545,1.4348872775258372,-0.10855873697243443,-0.005029540961517309,1.5434460144982716,0.12775898144959408,0.12736153366209427,-0.0012554123432329059,-0.0003974477874998106,0.12861694600532717,-0.1083952645849493,-0.10839526458494919,-0.2917005054139077,0.0004822486871772753
week8_C,9740,10.0,1.4998833021390063,1.4949556278982128,-0.20445590288092247,-0.004927674240793545,1.6994115307791353,0.12490955666406639,0.12454937137178922,-0.006173423203111887,-0.00036018529227717366,0.1307227945749011,-0.12881095741638826,-0.12881095741638882,-0.3277817926820229,0.000505775241252103
week8_D,10530,10.0,1.4067046699932397,1.4023076846438352,-0.09815103797877975,-0.004396985349404581,1.500458722622615,0.12251107623220216,0.1221777304153455,-0.0008772125907633167,-0.00033334581685665055,0.12305494300610882,-0.09460432557824283,-0.09460432557824328,-0.25478498896878177,0.0004174611380484363
week8_E,10314,10.0,1.3340393829211081,1.329133770629249,-0.11727855003260276,-0.004905612291859152,1.4464123206618518,0.13045633871586867,0.13003496056395591,-0.0016290829985051974,-0.0004213781519127602,0.1316640435624611,-0.08228880968584407,-0.08228880968584418,-0.27642892206491454,0.0004754694338828545
week8_F,10794,10.0,1.3341660083671818,1.3293461983204482,-0.11666443553941201,-0.004819810046733597,1.4460106338598602,0.12780902069152503,0.12740258113954883,-0.0016218519392235129,-0.0004064395519761954,0.12902443307877234,-0.08712068893049907,-0.08712068893049907,-0.27987046942318916,0.000446371109514808
week9_A,10478,10.0,1.2361298699882222,1.2310308251261912,-0.16285586991311002,-0.005099044862030944,1.3938866950393012,0.11628927106849904,0.11587776184015679,-0.00448853340602037,-0.00041150922834225223,0.12036629524617716,-0.09235678459136831,-0.09235678459136754,-0.27198072180381627,0.00048652113109995664
week9_B,9614,10.0,1.1342207935873825,1.1289628325670849,-0.15778226755978336,-0.00525796102029763,1.2867451001268682,0.08635140048652479,0.08596791841734497,-0.0037488743201962876,-0.0003834820691798191,0.08971679273754125,-0.09596714663956485,-0.09596714663956518,-0.27664026826416444,0.0005467747250653777
week9_C,10774,10.0,1.2712577100661386,1.2651497986527462,-0.13396648091256616,-0.006107911413392397,1.3991162795653125,0.09037446593016014,0.08995592485316643,-0.0028158463764002073,-0.00041854107699371146,0.09277177122956665,-0.08195621788860719,-0.08195621788860696,-0.2706715036030859,0.0005667428915389692
week9_D,10785,10.0,1.2192283054022328,1.2141584571992834,-0.09359842333767672,-0.005069848202949423,1.3077568805369602,0.0848162361175269,0.08447668739211202,-0.0007652287178971534,-0.000339548725414876,0.08524191611000917,-0.08859051404734908,-0.08859051404734919,-0.26370617179132716,0.00046995067659102606
week9_E,10580,10.0,1.3057261450269504,1.3006405025925476,-0.17581471930762738,-0.005085642434402793,1.476455221900175,0.11392145459440267,0.11353920982641397,-0.0044884525155461635,-0.0003822447679887042,0.11802766234196013,-0.09712437103981619,-0.09712437103981619,-0.2806924051733882,0.0004805488919131681
week9_F,10559,10.0,1.4632767777935929,1.458106883794756,-0.10458277859707801,-0.0051698939988369386,1.562689662391834,0.12315110477082472,0.12277070502670748,-0.0010515459381974057,-0.00038039974411724353,0.12382225096490489,-0.10721517829084581,-0.10721517829084459,-0.2601036565103262,0.0004894900161629927
week9_G,6644,10.0,2.853151508360846,2.8483940879335696,-0.13645174168581453,-0.004757420427276227,2.9848458296193843,0.16814342691536335,0.1679384135940365,0.007547001859034493,-0.0002050133213268579,0.16039141173500202,-0.22497206734850128,-0.2249720673485014,-0.4103613520206031,0.000715820852411741
week9_G_seed123,6385,10.0,1.9142009590297422,1.909450989703747,-0.1867979327904193,-0.00474996932599514,2.0962489224941665,0.13229416479886666,0.13203964918096273,0.01430035909523044,-0.0002545156179039332,0.11773929008573228,-0.17320209686177424,-0.17320209686177446,-0.6188282439050954,0.0007437109891351372
week9_G_seed42,7598,10.0,2.2528573263022205,2.248140138940534,-0.7329368166643174,-0.00471718736168647,2.9810769556048515,0.13230009664386422,0.13211623200224792,-0.01710144630088564,-0.00018386464161629368,0.14921767830313357,-0.2906668713175744,-0.29066687131757485,-0.6119102526605549,0.0006206951766676646
week9_G_smoke,6855,10.0,2.8637270095621075,2.8588138513343355,-0.10863016196877569,-0.004913158227771941,2.967444013303111,0.1639684398339578,0.16376123795096362,0.008384217652210963,-0.00020720188299419573,0.15537702029875267,-0.20517198989184848,-0.20517198989184837,-0.4193566198050316,0.0007165431828705669
week9_H,5770,10.0,2.7158587479501066,2.7113750943180777,-0.08682806522298497,-0.004483653632028961,2.7982031595410626,0.16161358782160556,0.1614396775391605,0.014881632624867986,-0.00017391028244506668,0.1465580449142925,-0.26919445795197416,-0.2691944579519737,-0.5718806397450622,0.0007768836448832614
week9_L,10053,10.0,0.22054448353088021,0.21420434973239144,-0.09786336083168214,-0.006340133798488773,0.31206771056407356,0.024686809562906937,0.024015091117241816,-0.0036015398262680934,-0.0006717184456651211,0.02761663094350991,-0.07353138519305324,-0.07353138519305269,-0.2668482717198607,0.0006305203571477858
week9_L_smoke,9622,10.0,0.6192853418999212,0.6132344549118297,-0.15470354125542074,-0.006050886988091531,0.7679379961672504,0.06952486227778688,0.06893270537309013,-0.006235704439149703,-0.0005921569046967584,0.07516840981223982,-0.08101300624006191,-0.08101300624005991,-0.29358635494138396,0.0006286898048810354
