domain,total_contribution,contribution_share_of_total_return
massachusetts-primary,0.0001538617350161077,0.00028485954685238314
foreign-policy,-0.00012656837171657955,-0.0002343286263426988
macro-geopolitics,5.292076749531902e-05,9.797748508567585e-05
democratic-primary,-2.2219561685096785e-05,-4.113728648784974e-05
pop-culture,-1.5618098777033114e-05,-2.8915341035610007e-05
2026-fifa-world-cup,0.0,0.0
formula1,0.0,0.0
nba-champion,0.0,0.0
ligue-1,0.0,0.0
la-liga,0.0,0.0
soccer,0.0,0.0
arkansas-midterm,0.0,0.0
france,0.0,0.0
