trial_number,lr_w,lr_theta,rolling_window,mc_samples,turnover_lambda,copula_shrinkage,copula_temperature,mlp_hidden_dim,concentration_penalty_lambda,max_weight,fee_rate,dd_penalty,walkforward_mean_log_wealth_per_step,walkforward_mean_turnover_per_step,selection_score
87,0.03472526345436236,0.0005214704697614709,24,256,0.03186835767701268,0.06787901618517936,0.1,8,27.8899549018289,0.08942078560590744,0.0,0.0,0.00011385997970638904,0.07426525829483155,-0.003599402935035189
86,0.012937650609107964,0.0008910575682381097,96,256,0.0008579121436923743,0.07593553219921888,0.1,16,4.911049168677929,0.07202672008424997,0.01,0.0,-0.00032900706536563226,0.04726822764433151,-0.0026924184475822076
85,0.01971697947841086,0.000678553089139412,96,512,0.04068533633835614,0.05371168423444033,0.1,16,2.6183873114912606,0.06444256201386452,0.001,0.0,8.297480439781483e-05,0.03480796974333112,-0.0016574236827687412
89,0.010154224270412876,0.0005740914726860298,96,256,0.0163337130099535,0.08129426394589245,0.1,16,6.780253824799823,0.06826553631573916,0.005,0.0,-1.76855175666523e-05,0.03032304280382124,-0.0015338376577577143
90,0.015085133755950286,0.0007518436207915773,24,512,0.026473625469952824,0.06092588473111391,0.1,8,3.799158372489771,0.07569359928369522,0.005,0.0,-3.2543226784657354e-05,0.034151167070615246,-0.0017401015803154198
88,0.04426135098785723,0.0009419508438936983,96,256,0.04783852477557957,0.0748980472330004,0.1,16,45.19830140673438,0.09067739203572274,0.0,0.0,0.00012998173813785595,0.08013397013259373,-0.0038767167684918306
91,0.030154223437362612,0.000614716032996746,48,256,0.006400702288374305,0.09544724300503732,0.1,16,16.10570530484788,0.08324459854513407,0.0,0.0,0.00011858506794843304,0.10353489652893706,-0.00505815975849842
93,0.018187941439903807,0.0005286787135003215,96,512,0.011766643123701216,0.06901003359816969,0.1,16,12.4091281059403,0.07478944052010775,0.005,0.0,-7.83566677410853e-05,0.046346917230871955,-0.0023957025292846833
94,0.011938347913704106,0.0008079218793390605,96,512,0.04532902329228819,0.09816748751327396,0.1,8,23.28142096912912,0.06221748679876327,0.005,0.0,1.1704033878935691e-05,0.022752586833062666,-0.0011259253077741977
92,0.030584863820968988,0.0008744947798821484,48,512,0.03035946972668171,0.08712505730800331,0.1,16,2.205838777018167,0.0872000576555729,0.001,0.0,0.00010972373543793003,0.05654250312482137,-0.0027174014208031384
96,0.03894591144887402,0.0007338525490164357,48,256,0.004808981763198972,0.05257449159398675,0.1,8,8.572460330352246,0.08103295255452395,0.0,0.0,0.00011670404962330561,0.1540352827845086,-0.007585060089602124
95,0.046033815761346776,0.0006695560712407321,24,256,0.01549963252618909,0.058177411649376155,0.1,16,5.884919168475001,0.09976728085428477,0.01,0.0,-0.0007426622359399223,0.08875994840839949,-0.005180659656359897
97,0.014105499460081114,0.000633393587497636,48,512,0.03746433071792126,0.09109967602416874,0.1,8,35.77347430576632,0.07846676900982857,0.005,0.0,-1.133500578234282e-05,0.030658575449771013,-0.0015442637782708936
98,0.020963696438669875,0.000965329768453505,96,256,0.02108941497281194,0.06360237835906446,0.1,8,20.03106791412373,0.06605091515928507,0.0,0.0,0.00011745309309589856,0.05149647019119325,-0.002457370416463764
99,0.026545627602703434,0.0005573274740090923,48,512,0.039981331070885064,0.08025260600261391,0.1,16,3.052560758665682,0.0934437707066536,0.001,0.0,7.417036361331958e-05,0.04834545541349999,-0.0023431024070616796
