label,tennis::54935126197359005865759470122412489520668573958432708236792605627229004170180,nba-champion::95140346952277551620015228752585531762813913098320669805735291271863965388665,basketball::16762206059532490206526748978074790856743627357242377760896424862385852889561,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,la-liga::88657857917663921842097927058013051966750383205171131721194307619909198186324,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,comex-silver-futures::13894075309136465288344590624962399806634179813543146659957916315803696399619,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,league-of-legends::38980554868563368105197970502286544690071489173012608306074305645705239965852,hockey::115394635451048754011327777276076337527696490170069916864086987480603951060926,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,south-dakota-primary::65396033350506725313266693161572493847482432654933099338943748693899562511370,hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,awards::73768610008619570600930429495180540710817177537162503586781057110775077618432
primaries::7345183309756257693783741573478340128830660331823026035095352170224920670792,0.0007895419693095149,0.001045195393284782,0.0006153306059792952,0.0009893141336063261,0.000568263639037298,0.0013789697651257883,0.0018831713919702027,-0.001246685832604286,-0.0009166623512579218,-0.0012999104599633704,1.0,0.0009474494331838939,-0.0008986983060744594,-0.001551135085368779,-0.0005103421622009583,0.0002587732035073119,0.0004869845152430684,0.00018022177712312756,-0.0002083465989118173,0.00026677227272785687
comex-silver-futures::13894075309136465288344590624962399806634179813543146659957916315803696399619,-0.000668734364827108,0.06742591613537184,-0.0005211790353692255,-0.0008379394439668709,-0.0004813137723866583,-0.0011679739720532546,-0.0015950278435117673,0.001055930768486813,0.008610099199495121,0.0011010115099213346,0.000947449433183894,1.0,0.0007611887198466497,0.0013137963229266966,0.00043225484515081795,-0.00021917838520108316,-0.0004124711454750476,-0.0001526460914520459,0.0001764675418192644,-0.00022595351899046043
la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,0.0006343245558385986,0.0008397186335638734,0.0004943617040055106,0.0007948231668210219,0.00045654771303265117,0.0011078757276744183,0.0015129554896544909,-0.0010015977209274585,-0.0007364541232990611,-0.001044358827267078,-0.0008986983060744595,0.0007611887198466497,1.0,-0.0012461947715492498,-0.0004100131189313923,0.00020790053443423887,0.00039124739195560394,0.0001447916680427435,-0.00016738738275154938,0.0002143270528812241
league-of-legends::38980554868563368105197970502286544690071489173012608306074305645705239965852,0.0010948313437576422,0.0014493373644469307,0.0008532582945383917,0.001371848697596015,0.09700297525891587,-0.039255441040686435,0.002611330550799961,-0.0017287373925763993,-0.0012711049099485337,-0.0018025421965737302,-0.0015511350853687788,0.0013137963229266963,-0.0012461947715492498,1.0,-0.0007076743440343011,0.0003588321142347317,0.000675285079118743,0.25461243700793434,-0.000288907234473495,0.0003699241549924758
hockey::115394635451048754011327777276076337527696490170069916864086987480603951060926,0.0003602127245325095,0.00047684948352168303,0.0002807322760332617,0.0004513547769936934,0.0002592589141896978,0.0006291273617516643,-0.005564964741113291,-0.000568775464578793,-0.00041820885508057806,-0.0005930581357710706,-0.0005103421622009583,0.00043225484515081795,-0.0004100131189313923,-0.0007076743440343012,0.9999999999999999,-0.00025060453700190516,0.00022217694037754998,8.222257952213441e-05,-9.505396667734784e-05,-0.0009433285379794995
epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,0.0029341736976594202,-0.00024179046447886536,-0.00014234761651619633,-0.00022886316321047958,-0.0001314593712448943,-0.0022793953466320386,-0.0031438932949523733,0.000288402291534475,0.0002120562500609418,0.0003007150202869684,0.0002587732035073119,-0.00021917838520108316,0.00020790053443423887,0.00035883211423473176,-0.00025060453700190516,1.0,-0.00011265665050874638,-4.169163725727543e-05,4.8197897969259056e-05,-0.001204024879641162
south-dakota-primary::65396033350506725313266693161572493847482432654933099338943748693899562511370,-0.0003437262919534686,-0.00045502474962137745,-0.0002678835524142089,-0.00043069690015219757,-0.0002473929963078416,-0.0006003330823529887,-0.0008198367469190715,0.0005427434071006469,-0.011366174514747196,0.000565914694396169,0.0004869845152430684,-0.00041247114547504756,0.00039124739195560394,0.000675285079118743,0.00022217694037755004,-0.0001126566505087464,1.0,-7.845936706058901e-05,9.07034795727314e-05,-0.00011613903714445801
hockey::59261866601270864198456845856841875150453626184437295894384368539724334278520,-0.00012720520107066722,-0.0001683942023718007,-9.913754619907857e-05,-0.00015939102439038537,-9.155446230187304e-05,0.061826485425095556,-0.00030340273839475136,0.00020085686153842216,0.0001476859030149509,0.00020943202243969508,0.0001802217771231276,-0.0001526460914520459,0.0001447916680427435,0.25461243700793434,8.222257952213442e-05,-4.169163725727542e-05,-7.845936706058901e-05,1.0,0.15342197434551313,-4.2980388518300314e-05
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.00014705642919535445,0.0001946732514831504,0.00011460862779601785,0.00018426506695758441,0.0001058421525982526,0.09949756879134841,0.0003507507785915275,-0.00023220192719022157,-0.0001707332825786272,0.03571829964575418,-0.0002083465989118173,0.0001764675418192644,-0.00016738738275154938,-0.000288907234473495,-9.505396667734784e-05,4.8197897969259056e-05,9.070347957273138e-05,0.15342197434551313,1.0,4.968776754197985e-05
awards::73768610008619570600930429495180540710817177537162503586781057110775077618432,-0.0001882947839829613,-0.0002492645716739654,-0.00014674779560142385,-0.04224802358851139,-0.0001355229782800222,-0.0003288651194444852,-0.00044911019836480604,0.0002973172404630277,0.0002186112279330437,0.0003100105741941133,0.00026677227272785687,-0.0002259535189904604,0.00021432705288122408,0.0003699241549924758,-0.0009433285379794995,-0.001204024879641162,-0.00011613903714445801,-4.2980388518300314e-05,4.9687767541979844e-05,1.0
