label,bundesliga::75243767583801257521744211524447653598366317209903038558716257700246583477252,felix::94195159380649683762164114216519545499991614727769221572315275622082093227806,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,bernie-sanders::82924591030419390649945107956366329459342453014204495918712243498287775914589,economic-policy::18690049947242812495755151360212639738977254879109748949267393375856311641700,2026-fifa-world-cup::113379015922744700109400673843380371641970914885846970213129353605968934558386,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,best-of-2025::63415064977569429650854303533694905713854849186055984415925532647266316927744,comex-gold-futures::13516120433742364095801101793558742894298506681439248699088928599069619128824,claude-5::11966409881281293602137861492007400834690026843003461391578987664208256196909,acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,celebrities::53329768000302886237348067067040092244986863349220930322162535687958966280479,fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,business::391670908629060088409431896998377161667071768186645889213963384874929102170,brazil::29464249359795764732112771440808805030560641430581197204785405866716242261762
acquisitions::100075392620587674415757008337155597840247947392028754376271407831307492671931,-0.0003263849684489866,0.0006167583275257487,0.00044872472993355653,-0.0009305918824185717,-0.001194816132477981,-0.0007095982219211892,0.0006180090956349114,0.0002871612067310333,0.0004876437640375895,-0.021452752788819165,1.0,0.0007107760383687582,0.00036404913314727735,0.0002593688226617268,-0.0007095982219211891,0.0009157580854345345,0.0012207802103790823,-0.00038080393242528583,-0.000608070519907126,8.264041368882744e-05
airdrops::92206458231325096769152348269441704588222763710040504959674288895806154976594,0.000221075276022086,-0.00041775826302487413,-0.0003039415203445623,0.027436030496580156,0.0008093029147097382,0.00048064291539371806,-0.00041860546473971764,-0.0001945072511843369,-0.0003303031394103793,-7.792021704417866e-05,0.0007107760383687581,1.0,-0.00024658691537969715,-0.00017568221457608588,0.00048064291539371817,-0.0006202842994546008,-0.0008268895569988132,0.00025793569744120455,0.00041187361865400296,-5.5976083560632827e-05
celebrities::53329768000302886237348067067040092244986863349220930322162535687958966280479,0.00011323153602764234,-0.00021396969693625705,-0.0001556744192767764,0.00032284681724728076,0.00041451316399160104,0.0002461782998538322,-0.0002144036213136182,-9.962378071583288e-05,-0.00016917645655886314,-3.990960012479376e-05,0.00036404913314727735,-0.0002465869153796972,1.0,0.01716942989939167,0.00024617829985383106,-0.0003177005826470514,-0.0004235207859916344,0.00013211090694153848,0.00021095566780971345,-2.8670134609485063e-05
fifa-world-cup::59293102456409671843831538939564589910493616612575646727452668236549896586814,8.067243543136288e-05,-0.0001524438965143494,-0.0001109111028428985,0.00023001400433395906,0.0002953222011348478,0.00017539109417992078,-0.00015275304834204054,-7.097751473815998e-05,-0.00012053070413988057,-2.843381580881149e-05,0.00025936882266172683,-0.00017568221457608588,0.01716942989939167,1.0,0.00017539109417992043,-0.00022634754096990047,-0.00030173973135372794,9.412314787832752e-05,0.00015029653475781747,-2.042619630742856e-05
california-midterm::46795587673242136909437201632973334679982713622973285707845177101454063819719,-0.00022070893545601006,0.0004170660019936331,0.00030343786335215316,-0.0006292873862685544,-0.0008079618308344349,-0.000479846449136277,0.00041791179982306377,0.0001941849360987824,0.0003297557989693957,7.779109660640835e-05,-0.0007095982219211891,0.0004806429153937181,0.00024617829985383106,0.00017539109417992043,1.0,0.0006192564355275368,0.0008255193305589995,-0.00025750827601664605,-0.00041119110897981106,5.5883326421495594e-05
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,0.0002848315933265351,-0.0005382363592336389,-0.00039159579069883134,0.0008121145096406302,0.0010426993141356697,0.0006192564355275386,-0.0005393278870546205,-0.00025060156551772887,-0.0004255598869844482,-0.00010039177592534327,0.0009157580854345344,-0.0006202842994546007,-0.0003177005826470514,-0.00022634754096990045,0.0006192564355275368,1.0,-0.001065357801482575,0.0003323222614483064,0.000530654631134181,-7.211913225051211e-05
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,0.00037970374267434103,-0.000717512961457653,-0.000522029124674385,0.0010826148714379806,0.0013900032206307766,0.000825519330559001,-0.0007189680570599949,-0.0003340723240558659,-0.0005673060348850384,-0.0001338304245234345,0.0012207802103790823,-0.0008268895569988132,-0.0004235207859916344,-0.00030173973135372794,0.0008255193305589995,-0.001065357801482575,1.0,-0.186035866958858,0.0007074058995910803,-9.614068479598016e-05
congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,-0.00011844284264903748,0.00022381732187839158,0.00016283909406985812,-0.0003377053435504693,-0.00043359049237507395,-0.0002575082760166456,0.00022427121695525523,0.00010420881140875232,0.00017696254177132812,4.174637785195082e-05,-0.00038080393242528583,0.0002579356974412045,0.00013211090694153848,9.412314787832754e-05,-0.00025750827601664605,0.0003323222614483064,-0.18603586695885796,1.0,-0.00022066457671481756,2.9989633289519445e-05
business::391670908629060088409431896998377161667071768186645889213963384874929102170,-0.00018913040222610082,0.0003573931456327996,0.00026002266300568984,-0.000539250376224614,-0.0006923604870520094,-0.0004111911089798126,0.0003581179286296939,0.00016640139645788708,0.00028257508816584574,6.666092317640392e-05,-0.0006080705199071261,0.00041187361865400296,0.00021095566780971348,0.00015029653475781747,-0.000411191108979811,0.000530654631134181,0.0007074058995910803,-0.00022066457671481756,1.0,0.028264216494151107
brazil::29464249359795764732112771440808805030560641430581197204785405866716242261762,2.570395072513446e-05,-4.8571862041850594e-05,-3.533863217467427e-05,7.328734532280875e-05,9.409592341446691e-05,5.588332642149532e-05,-4.8670364377907404e-05,-2.2614943154583367e-05,-3.8403641386442795e-05,-9.059617409208429e-06,8.264041368882744e-05,-5.597608356063282e-05,-2.8670134609485063e-05,-2.042619630742856e-05,5.58833264214956e-05,-7.211913225051211e-05,-9.614068479598016e-05,2.998963328951944e-05,0.028264216494151104,1.0
