label,databricks::82712470265251700739331694672360544122893066934757473974734613171971970115364,economic-policy::54073086346734626735797775941991553522163760164405051969883391401961188364109,awards::45014676111572901552217363692090679327003594688155466306257909550735876308571,anthropic::14018274637090307878372326472471535510234764986484318979992031495866993899114,california-midterm::89694314427486889897766629507723742460669068230376416068996390119126818537632,bundesliga::5254288171817620305899304387173316577587455481755582876905938498730493405588,2025-predictions::108547978327958467449318042977006580876058560639743186491243488736783119648127,celebrities::68207341820749052475650610432894562714266620914604033880285153252182288802957,claude-5::63907313656443890447578607530571289622813903996374626191028175281541399992719,gemini-3::111646250931838932302421100465311863857465734768037379595335905351441550302588,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,congress::15394416147421266264002744586901575755411758481406494583013250092373628427765,fdv::42645635688384173938505005153732536262139883933750646945028210271328873690888,felix::56940108685601594440972125972550948538859641414755179784371446688257727053902,epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,german-elections::67784084156063245454459357229936847964117127235086701895468125487885758601780,bitcoin::115563279943088574368475763566308524191598627607680105838058505260056381768939,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,commodities::4655209727295513535859117642120184432334179761721646415109648555849060899062
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,0.00011025288313469209,0.00012452669251318126,8.964562584068373e-05,0.00010471413658925057,8.72086770001753e-05,8.701798532659451e-05,7.15019701016732e-05,0.0001544580360005287,-0.00023354640112974593,-9.057150620414927e-05,1.0,5.114975239744936e-05,4.5150035995515745e-05,-7.970283023380529e-05,3.152174353253565e-05,-6.412114932261985e-05,4.067696864926612e-05,2.3904179475987688e-05,2.275385008948592e-05,-9.809238375003154e-05
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-6.226470012247299e-05,-7.03257542671881e-05,-5.062686663213776e-05,-5.9136723938115e-05,-4.925061338178972e-05,-4.914292132393846e-05,-4.0380338363662626e-05,-8.722931337163642e-05,0.00013189402596635325,5.1149752397449365e-05,5.114975239744936e-05,0.9999999999999999,-0.0023117256606428427,4.501172833149087e-05,-1.7801728649525683e-05,3.621206104157347e-05,-0.01226529670057979,-1.3499751883391444e-05,-0.011999247220615381,5.539712599657223e-05
congress::15394416147421266264002744586901575755411758481406494583013250092373628427765,-5.496123285086996e-05,-6.207674891373949e-05,-4.4688483201617204e-05,-5.220015912712772e-05,-4.34736604336077e-05,-4.337860033923219e-05,-3.564384273973458e-05,-7.699756995871656e-05,0.00011642324235906349,4.515003599551564e-05,4.5150035995515745e-05,-0.002311725660642843,0.9999999999999999,3.973198420582211e-05,-1.5713637928549985e-05,3.196449216009032e-05,0.007246172733726523,-1.1916270458742352e-05,-1.1342829479512004e-05,4.889920509014727e-05
fdv::42645635688384173938505005153732536262139883933750646945028210271328873690888,9.702242123989009e-05,0.00010958335848566128,7.888805648745882e-05,9.21483301032982e-05,7.674354406993856e-05,7.657573559768523e-05,6.292165851311406e-05,0.0001359229092850362,-0.00020552058744615823,-7.970283023380524e-05,-7.970283023380529e-05,4.501172833149087e-05,3.973198420582211e-05,1.0,2.7739101167030075e-05,-5.642654398766176e-05,3.579568964403597e-05,2.1035652806283007e-05,2.0023364155602745e-05,-8.63211945668219e-05
felix::56940108685601594440972125972550948538859641414755179784371446688257727053902,0.002497856911249513,0.0028056486000393286,-3.119950793570051e-05,-3.644382539424866e-05,-3.0351372803877227e-05,-3.0285006081271316e-05,-2.4884942937085544e-05,0.06869142223459516,-0.007551393166224641,3.1521743532535676e-05,3.152174353253565e-05,-1.780172864952568e-05,-1.5713637928549985e-05,2.7739101167030075e-05,1.0,2.231618429093175e-05,-1.4156869275780346e-05,-8.319409120783187e-06,-7.919058177982561e-06,3.4139246355189964e-05
epstein::108548893345759572446077602443398325305734327289834850738242401844282632332811,7.8054808614905e-05,8.816011767867611e-05,6.346566157014825e-05,7.413358869505671e-05,6.174039534632168e-05,6.160539296214276e-05,5.062064984782393e-05,0.0001093503597935259,-0.00016534188607669165,-6.412114932261985e-05,-6.412114932261985e-05,3.621206104157347e-05,3.196449216009031e-05,-5.642654398766175e-05,2.2316184290931753e-05,1.0,0.039825973221251865,1.692324137968376e-05,1.6108852335563733e-05,-6.944564189615514e-05
german-elections::67784084156063245454459357229936847964117127235086701895468125487885758601780,-4.951615865423818e-05,-5.5926732143971764e-05,-4.026114243529357e-05,-4.7028627762605426e-05,-3.916667359249405e-05,-3.908103121386546e-05,-3.211256517728546e-05,-6.936932984039723e-05,0.00010488905435104271,4.0676968649266234e-05,4.067696864926612e-05,-0.01226529670057979,0.007246172733726523,3.5795689644035975e-05,-1.4156869275780346e-05,0.039825973221251865,1.0,-1.0735711482362862e-05,-0.0025328980471553166,4.4054703137404775e-05
bitcoin::115563279943088574368475763566308524191598627607680105838058505260056381768939,-2.9098607461107242e-05,-3.2865837525955094e-05,-2.3659815532965014e-05,-2.7636787987820296e-05,-2.3016641262169147e-05,-2.2966312762835067e-05,-1.8871232221139392e-05,-4.076549865188635e-05,6.163897811294831e-05,2.3904179475988064e-05,2.390417947598769e-05,-1.3499751883391444e-05,-1.1916270458742352e-05,2.1035652806283007e-05,-8.319409120783188e-06,1.692324137968376e-05,-1.0735711482362862e-05,1.0,-6.005333676162244e-06,2.5889134946071166e-05
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-2.7698309103133444e-05,-3.12842505588695e-05,-2.2521245555517306e-05,-2.630683606861576e-05,-2.190902245227461e-05,-2.1861115887218434e-05,-1.7963100946217948e-05,-3.880376007382273e-05,5.867275507448007e-05,2.2753850089485655e-05,2.275385008948592e-05,-0.011999247220615381,-1.1342829479512003e-05,2.002336415560274e-05,-7.919058177982561e-06,1.6108852335563733e-05,-0.0025328980471553166,-6.005333676162245e-06,0.9999999999999999,2.4643284497634687e-05
commodities::4655209727295513535859117642120184432334179761721646415109648555849060899062,0.0001194080630349752,0.00013486714112492004,9.708962012468182e-05,0.00011340939000410235,0.006312061919399384,0.06932990381673998,-0.014376948142943559,0.00016728392378157354,-0.00025293962928498576,-9.809238375003289e-05,-9.809238375003156e-05,5.539712599657222e-05,4.889920509014728e-05,-8.63211945668219e-05,3.413924635518997e-05,-6.944564189615515e-05,4.4054703137404775e-05,2.5889134946071166e-05,2.4643284497634687e-05,1.0
