label,basketball::19063193541024384703688685779087142926481547676681055667364352656903314720497,economic-policy::9556122149160720922715284597610520228366807023831966638741974320131898296289,awards::47252200832793247423089215877857667425039333476763845614656878203768571431091,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,epstein::57692461228141098196519006129212454078633070644580607609751365664388305515775,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,bitcoin::47113934605305582772590235372495078183833796521066344951188393486940857661087,claude-5::37486578038105453175288714027461169500971706842986129918617327827942330885334,congress::35772478648141184011258957985537045975935629101627518451751092071575033100741,foreign-policy::94559586571241563470235664821564670251180951772614764383113614156422396181162,fifa-world-cup::96570915933183650323624717300751327226821728969018565701035634346205052779472,colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,bernie-sanders::7096166888327966243811396544854606771946352128513885963401994819079689910004,commodities::108251591904413063139495882252154135107497878738832930637657538583440424739851,big-tech::101572915378052466010537773686792142702472736962773444087157973880663103257016,comex-gold-futures::2505045451674943447519228800725933725750838307553383437231238252001926532847,crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431
fifa-world-cup::96570915933183650323624717300751327226821728969018565701035634346205052779472,0.00014035204510308153,-0.00046746204175235687,0.00016409320042013568,0.00037416077106450755,0.004181370151480576,0.0001718501994747049,0.00019755007775806464,-9.660360700103556e-05,0.00025899027920265943,-0.00026307218385570767,1.0,0.00017241081648526353,0.0002906617424581697,-0.00011345125956945455,-0.00016949694004797167,-0.00010713152444074905,-0.00021982836464467736,-0.0003248096846800621,0.0002108121224116786,0.00019600107319649044
colorado-midterm::94387913280398317052582281843978069916338462525042652614881277797162415545237,-0.0001630112154820608,0.0005429315658479417,-0.00019058526744787543,-0.0004345672486078435,0.0003715957050161167,-0.0001995945971192065,-0.00022944359856150694,0.00011219980005011199,-0.00030080302841226856,0.0003055439371641782,0.00017241081648526353,1.0,-0.00033758769882861973,0.00013176742602364553,0.00019686141514658825,0.0001244273997055458,0.0002553186089439827,0.0003772486639660631,-0.0002448467372701354,-0.000227644514578197
abraham-accords::70026524713009669538763377800911903794570186848119999786864842995489783143838,-0.0002748152633236315,0.0009153105250701886,-0.00032130145342703807,-0.0007326226757148109,0.0006264610151021932,-0.0003364899869194891,-0.00038681143975361084,0.00018915396406589706,0.1430049065406607,0.011071167723829517,0.0002906617424581697,-0.00033758769882861973,1.0,0.0002221423831058506,0.029738624026736826,0.0002097680734030105,0.0004304332713603223,0.0006359911532450976,-0.00041277908626005986,-0.0003837784230550162
bernie-sanders::7096166888327966243811396544854606771946352128513885963401994819079689910004,0.00010726605266073157,-0.00035726453398434094,0.0001254105692910021,0.0002859577068727992,-0.0002445206260494757,0.00013133896647585274,-0.003225698094092448,-7.383068474833785e-05,0.00019793701550387482,-0.00020105666936534591,-0.00011345125956945455,0.00013176742602364553,0.0002221423831058506,1.0,-0.00012954045438856972,-8.187679583753529e-05,-0.00016800696363903787,-0.00024824043508605686,0.00016111617189135688,0.00014979661624177451
commodities::108251591904413063139495882252154135107497878738832930637657538583440424739851,0.00016025619958752192,-0.0005337556015492184,0.00018736422870197877,0.000427222725265581,-0.00036531544957091723,0.00019622129371857155,0.0002255658239000115,-0.00011030353646121476,0.0002957192240743352,-0.0003003800077935685,-0.00016949694004797164,0.00019686141514658825,0.029738624026736826,-0.00012954045438856972,1.0,-0.00012232448020463432,-0.000251003526550835,-0.0003708728691328979,0.00024070863762521328,0.005763354738067471
big-tech::101572915378052466010537773686792142702472736962773444087157973880663103257016,0.00010129086081455472,-0.00033736332500498,0.00011842464790707363,0.00027002860240708733,-0.000230899749595546,0.00012402280724275232,0.00014257018781165678,-6.971799024188767e-05,0.0001869110514476032,-0.0001898569268409229,-0.00010713152444074904,0.00012442739970554582,0.00020976807340301052,-8.18767958375353e-05,-0.00012232448020463432,1.0,-0.00015864823537100128,-0.00023441234887588142,0.00015214129109083422,0.000141452284575318
comex-gold-futures::2505045451674943447519228800725933725750838307553383437231238252001926532847,0.000207843624017791,-0.00069225214906704,0.00024300127174455233,0.0005540847699527235,-0.0004737943813963721,0.0002544884060703849,0.00029254667472836517,-0.00014305772144280722,0.0003835318407745501,-0.0003895766251976332,-0.00021982836464467736,0.0002553186089439827,0.00043043327136032226,-0.00016800696363903787,-0.000251003526550835,-0.00015864823537100128,1.0,-0.00048100205401635336,0.00031218608518845194,0.00029025279492446497
crypto-prices::17988517666865803556038348708000324994436319684963570400912948173818975836974,0.0003071015066190341,-0.001022844356873617,0.0003590490543828642,0.0008186937100008649,-0.0007000598119960032,0.00037602198908253835,0.00043225537944710464,-0.0002113764230016228,0.0005666914570742762,-0.0005756229911171712,-0.0003248096846800621,0.0003772486639660631,0.0006359911532450976,-0.00024824043508605686,-0.0003708728691328979,-0.00023441234887588142,-0.00048100205401635336,0.9999999999999999,0.00046127379446900805,0.00042886603350440625
extended::30168634295384984099987626703440157654602987915064535215384295190163901851184,-0.0033272172334876467,0.0006638594843060998,-0.00023303459463936194,-0.0005313590288429199,0.0004543617439466585,-0.0002440505850988821,-0.00028054789700888115,0.00013719022080469365,-0.00036780131397887297,0.0003735981720677289,0.0002108121224116786,-0.0002448467372701354,-0.00041277908626005997,0.0001611161718913569,0.00024070863762521328,0.00015214129109083422,0.00031218608518845194,0.0004612737944690081,0.9999999999999999,-0.0002783481004958188
comex-silver-futures::107870429546933970357003646744953533078588414978993746450690176970570179686431,-0.0001853153637856543,0.0006172186394555141,-0.0002166622588810566,-0.000494027282275903,0.0004224396036346697,-0.00022690429775285904,-0.0002608374142231605,0.00012755163318963798,-0.0003419606588000779,0.0003473502464271307,0.00019600107319649044,-0.00022764451457819697,-0.0003837784230550162,0.00014979661624177451,0.005763354738067472,0.00014145228457531798,0.00029025279492446497,0.00042886603350440625,-0.0002783481004958188,1.0
